"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cmss1",1.42772616375888e-138,1.71212532509152,1,0.982,2.50380337338395e-134,"0","Cmss1"
"Gm42418",2.20479761480774e-133,1.13690651666012,1,1,3.86655357708834e-129,"0","Gm42418"
"Lars2",2.56453226666403e-104,1.76235802460946,1,0.894,4.49742023604871e-100,"0","Lars2"
"Gm19951",1.68031089106708e-98,1.75391326562037,1,0.821,2.94676120966433e-94,"0","Gm19951"
"Gphn",2.55636091034401e-91,1.33540827391422,1,0.986,4.4830901284703e-87,"0","Gphn"
"AY036118",2.1179748563151e-84,1.20439644778618,0.997,0.883,3.71429250551979e-80,"0","AY036118"
"Camk1d",7.08767780714938e-70,1.57743136162764,0.952,0.767,1.24296605703979e-65,"0","Camk1d"
"AC149090.1",4.92276310880487e-64,0.994435150897057,1,0.959,8.63304966391111e-60,"0","AC149090.1"
"Srrm2",1.72135383818551e-60,0.969545463873374,0.994,0.926,3.01873822602593e-56,"0","Srrm2"
"Pabpn1",5.58514642217138e-54,0.949875194336313,0.982,0.882,9.79467128056194e-50,"0","Pabpn1"
"EGFP",9.94646224420652e-45,1.05924985896774,0.985,0.787,1.7443110837665e-40,"0","EGFP"
"Gm26917",1.29029185976117e-42,0.761622825734349,0.997,0.968,2.26278483446316e-38,"0","Gm26917"
"Cdk8",5.96074721430189e-38,1.04251153724151,0.837,0.642,1.04533623897212e-33,"0","Cdk8"
"Akap8l",1.63679799212448e-34,0.786136148258521,0.946,0.833,2.87045263878869e-30,"0","Akap8l"
"Pnisr",1.17176561066155e-26,0.550650881255245,0.997,0.977,2.05492535141717e-22,"0","Pnisr"
"Gm47283",9.04256281553356e-25,0.955953186099633,0.813,0.655,1.58579424096012e-20,"0","Gm47283"
"Chd5",1.22698938710397e-23,0.969438480753352,0.714,0.568,2.15177128816424e-19,"0","Chd5"
"Rbm25",1.39474669098312e-22,0.633997040494821,0.964,0.895,2.44596727197709e-18,"0","Rbm25"
