"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGFP",0,13.3435897927219,0.884,0,0
"Ndst4",2.61616564854403e-12,0.492529502371266,0.332,0.231,4.964697551242e-08
"Samd5",1.26300438700229e-09,0.346758646068109,0.597,0.512,2.39680342521425e-05
"Sfta3-ps",5.76565026866335e-09,0.545490440825912,0.244,0.17,0.000109414745148424
"Pde2a",9.87018459018743e-09,-0.505008950414385,0.303,0.384,0.000187306492967987
"mt-Co2",1.76209157031886e-08,-0.349270492904075,0.559,0.628,0.00033439211729941
"Epha5",2.72718531272774e-08,-0.345131927142507,0.576,0.64,0.000517537956796343
"Fam155a",3.11901114521815e-08,0.147116409463765,0.987,0.979,0.000591894745028048
"Unc5d",3.72332201998764e-08,0.253553101883248,0.83,0.774,0.000706574819733054
"mt-Nd1",5.87298645038368e-08,-0.314715592732701,0.532,0.611,0.00111451663868931
"mt-Co3",5.96996576740133e-08,-0.304639816016336,0.685,0.754,0.00113292040367975
"Fbxo8",6.1905616011593e-08,0.630175913123617,0.183,0.124,0.001174782875052
"Matk",1.36505228936018e-07,-0.245727398348971,0.675,0.731,0.00259045972951881
"mt-Co1",1.53408543119695e-07,-0.346254452418041,0.555,0.634,0.00291123392278245
"Ankrd44",1.88467412383895e-07,0.39037702631643,0.305,0.233,0.00357654608480917
"Prdm2",3.76544857770181e-07,0.345186866252496,0.353,0.277,0.00714569176590472
"Slit2",4.24345912596138e-07,0.277447492130824,0.393,0.313,0.00805281238333692
"Pard3b",4.45398100312083e-07,0.702629898483967,0.256,0.196,0.00845231974962239
"Ano1",5.21646298486182e-07,0.661160287030662,0.135,0.086,0.00989928180637227
"Rmst",5.85343723622068e-07,0.320685420230813,0.591,0.539,0.011108067843176
"Son",5.8635949091758e-07,-0.166648713716249,0.877,0.906,0.0111273440591429
"Idh3g",5.99953745720378e-07,0.372726868022024,0.375,0.301,0.0113853222325356
"Nrp1",6.09179789080787e-07,0.303157590333056,0.477,0.402,0.0115604048573861
"D330023K18Rik",6.27918576732207e-07,0.495797364239816,0.222,0.162,0.0119160108306471
"Hspa4",6.68941586800117e-07,0.388571268168047,0.315,0.245,0.0126945044927058
"Tmem178",7.31806704970024e-07,0.601117508748491,0.162,0.11,0.0138874958402161
"Ddx39b",7.66401590691684e-07,0.304183604453657,0.489,0.415,0.0145440029865561
"Lingo2",8.1663251049737e-07,0.170028062588585,0.964,0.95,0.0154972351517086
"Sash1",8.36050819802975e-07,0.342290403614098,0.361,0.29,0.0158657364074011
"Hspa5",9.46827837085535e-07,0.329044321476507,0.357,0.288,0.0179679518643722
"Rftn1",9.69896089242124e-07,0.466878204014827,0.315,0.25,0.0184057180855478
"Adcy8",9.72818862949756e-07,0.377127583036173,0.433,0.358,0.0184611835621975
"Tmem200a",1.02231686914772e-06,0.507250139407456,0.22,0.16,0.0194005072258162
"Zeb2",1.1843487809911e-06,0.75095892630232,0.171,0.119,0.022475386816868
"Magi2",1.51930418837701e-06,0.105471035905526,0.993,0.992,0.0288318355828306
"Tpp2",1.54139451824906e-06,0.317253394602582,0.352,0.279,0.0292510437728124
"Tmcc3",1.62458780241103e-06,0.331963472229355,0.505,0.443,0.030829802726354
"Zic1",1.6278763542931e-06,0.576449673373263,0.155,0.105,0.0308922095754202
"Kcnh7",1.9192254052827e-06,0.239425357784264,0.742,0.695,0.0364211405160497
"Agbl4",2.47014550038535e-06,0.1338974034642,0.956,0.942,0.0468759511608128
"Cadm1",2.6170418924559e-06,0.170011532591268,0.929,0.922,0.0496636039931357
"Hsd17b12",2.63140084735295e-06,0.562911560098353,0.173,0.121,0.049936093880217
"Zfp536",2.67143762189244e-06,0.511064678644213,0.254,0.195,0.0506958717506528
"Cox16",2.8945035878567e-06,0.169373583066682,0.892,0.855,0.0549289945867565
"Syt7",2.99803553671079e-06,-0.353132147497542,0.441,0.501,0.0568937203801606
"Smc5",3.08097884256089e-06,0.250643103024426,0.492,0.418,0.058467735495278
"Rtn1",3.23909379849166e-06,0.137713158331022,0.908,0.887,0.0614682830139762
"Qars",3.46066982020989e-06,0.744717405679285,0.092,0.055,0.0656731311781231
"Hsp90b1",3.48521330144045e-06,0.228780304985379,0.546,0.48,0.0661388928214355
"B4gat1",3.68151085576331e-06,0.897583840020804,0.074,0.041,0.0698640315098202
"Frmd3",3.95796657173153e-06,0.224295239341123,0.46,0.384,0.0751103316317492
"Amph",4.04749016533871e-06,0.260589665244154,0.547,0.482,0.0768092208676327
"Gria1",4.8222799730675e-06,-0.24372869371348,0.915,0.925,0.0915124070489019
"Rbfox3",4.91379031601416e-06,-0.222889244118382,0.839,0.858,0.0932489988270008
"Psmd3",5.03843231250684e-06,0.473158601748809,0.212,0.157,0.0956143299944423
"Cpeb2",5.12034384308963e-06,0.430776786389674,0.27,0.21,0.0971687651103119
"Fam49b",6.05206630731697e-06,0.270411425954153,0.462,0.394,0.114850062313954
