"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Zfhx3",1.70125381376364e-25,0.759971834196629,0.901,0.687,2.82493195775452e-21,"0","Zfhx3"
"Gm42418",1.96481721978194e-16,0.501170051832386,1,1,3.26257899344792e-12,"0","Gm42418"
"Gm26917",2.17472438064686e-16,0.464451789380288,0.991,0.982,3.61112983406411e-12,"0","Gm26917"
"Pou2f2",4.64974700949719e-16,1.00667068604608,0.556,0.376,7.72090490927008e-12,"0","Pou2f2"
"Cmss1",3.3007543038439e-15,0.57175380144565,0.994,0.997,5.48090252153279e-11,"0","Cmss1"
"Baiap3",4.252704458552e-15,0.530976661220549,0.817,0.661,7.0616157534256e-11,"0","Baiap3"
"Vwa5b1",1.26755299429938e-12,1.14684518351692,0.35,0.196,2.10477174703413e-08,"0","Vwa5b1"
"Lars2",2.31439023957599e-12,0.672621683580475,0.949,0.925,3.84304499281593e-08,"0","Lars2"
"Gphn",3.90420960881294e-12,0.35313967818102,0.998,0.995,6.48294005543388e-08,"0","Gphn"
"Zfp804b",2.85045757314399e-11,0.637280817945395,0.673,0.495,4.73318480020559e-07,"0","Zfp804b"
"Hs6st3",5.21987708488183e-11,0.643048109124772,0.71,0.53,8.66760589944627e-07,"0","Hs6st3"
"Pabpn1",1.15826224038239e-10,0.36230561591764,0.954,0.922,1.92329445015495e-06,"0","Pabpn1"
"AY036118",1.36899190126161e-10,0.425241651088184,0.958,0.919,2.27321105204491e-06,"0","AY036118"
"Gm19951",8.44439183107641e-10,0.525517217303809,0.884,0.826,1.40219126355024e-05,"0","Gm19951"
"Mycbp2",3.91210188386130e-09,0.267985499616887,1,0.998,6.49604517815168e-05,"0","Mycbp2"
"Syne1",2.70088358177252e-08,0.232874834542562,0.989,0.983,0.000448481718753326,"0","Syne1"
"Sgcz",9.80211171456827e-08,0.40950622088312,0.916,0.821,0.00162764065020406,"0","Sgcz"
"Golga4",1.28751060732572e-07,0.480255418404292,0.738,0.699,0.00213791136346436,"0","Golga4"
"Chd8",1.63533774211583e-07,0.393710174015556,0.8,0.748,0.00271547832078333,"0","Chd8"
"Sorcs1",1.63631511555698e-07,0.242443147152587,0.719,0.561,0.00271710124938236,"0","Sorcs1"
"Ptprk",2.16791798293688e-07,1.12971857902825,0.365,0.262,0.00359982781066669,"0","Ptprk"
"Scn9a",2.22845907841228e-07,0.490165820395285,0.593,0.474,0.00370035629970359,"0","Scn9a"
"Dst",3.966650559592e-07,0.264521320280549,0.994,0.994,0.00658662325420252,"0","Dst"
"Cers4",4.07665001721251e-07,0.31943357600671,0.857,0.784,0.00676927735358138,"0","Cers4"
"Gm28905",7.24985562523698e-07,0.583343781264775,0.604,0.486,0.012038385265706,"0","Gm28905"
"Luc7l3",8.64602288083017e-07,0.272413605722707,0.972,0.964,0.0143567209936185,"0","Luc7l3"
"Pclo",9.90223205001904e-07,0.272086810685715,0.976,0.971,0.0164426563190566,"0","Pclo"
"Pnisr",1.09323794583306e-06,0.301832252195775,0.993,0.996,0.018153216090558,"0","Pnisr"
"Ptprd",1.14506739083914e-06,0.157242687076392,0.98,0.942,0.0190138440248839,"0","Ptprd"
"Ntng1",1.14813023538516e-06,1.3858259943199,0.345,0.248,0.0190647025585705,"0","Ntng1"
"Srrm1",1.22913023875211e-06,0.265207422374837,0.947,0.925,0.0204097076144788,"0","Srrm1"
"Hap1",1.34933338950599e-06,0.376639141771533,0.719,0.634,0.0224056809327469,"0","Hap1"
"EGFP",1.54156545848742e-06,0.329250042555882,0.87,0.807,0.0255976944381835,"0","EGFP"
"Srrm2",1.73916549358382e-06,0.280745710182107,0.971,0.961,0.0288788430209593,"0","Srrm2"
"Usp29",2.26769723690593e-06,0.219468693646847,0.972,0.952,0.0376551126188229,"0","Usp29"
"Zbtb7c",3.21266039792164e-06,0.768141841584037,0.345,0.244,0.0533462259074888,"0","Zbtb7c"
"Tro",3.28627625228412e-06,0.347546128481598,0.789,0.723,0.0545686171691778,"0","Tro"
"Pdzrn4",3.49899245920763e-06,0.970596590617335,0.677,0.601,0.0581007697851428,"0","Pdzrn4"
"Grik1",4.61381790122598e-06,0.261613982759854,0.661,0.54,0.0766124462498573,"0","Grik1"
"Gse1",4.69494992525271e-06,0.377422761916066,0.842,0.797,0.0779596435088213,"0","Gse1"
"Zfhx4",5.32298481400399e-06,0.57589702241536,0.486,0.386,0.0883881628365363,"0","Zfhx4"
"Nav1",9.86071163096634e-06,0.232859877933974,0.969,0.928,0.163737116632196,"0","Nav1"
"Mdn1",1.43123802112426e-05,0.286103722338603,0.778,0.76,0.237657073407683,"0","Mdn1"
"Uggt2",1.75704323304385e-05,0.385598744568959,0.706,0.644,0.29175702884693,"0","Uggt2"
"Ahi1",1.85490512847975e-05,0.171929518344736,0.996,0.996,0.308006996584063,"0","Ahi1"
"Cacna1g",2.18017798564227e-05,0.511763311686797,0.523,0.432,0.362018554515898,"0","Cacna1g"
