"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"Cmss1",6.83461648577182e-66,2.3151835086474,1,0.961,1.20589973274958e-61,"Up",60.918688801088
"AY036118",2.93505222789796e-50,1.63243292055361,0.987,0.85,5.17860615090317e-46,"Up",45.2857871171716
"Gm42418",3.98761276418683e-46,1.07361259932981,1,1,7.03574396113124e-42,"Up",41.152689973406
"Lars2",1.17394729783211e-42,1.52501310686506,1,0.818,2.07131261229497e-38,"Up",37.6837543503828
"Gm19951",1.86206062316246e-42,2.17491388952337,0.981,0.734,3.28541976350785e-38,"Up",37.4834091346799
"AC149090.1",7.23966816033328e-40,1.36999540886591,1,0.919,1.2773670502092e-35,"Up",34.8936842906963
"Gphn",9.67064710789777e-38,1.34612498585044,1,0.978,1.70628897571748e-33,"Up",32.7679474151781
"Camk1d",3.79267189160902e-37,2.12181591223256,0.923,0.64,6.69179028555495e-33,"Up",32.174457677879
"Srrm2",1.06140042582393e-33,1.18991773204838,0.981,0.897,1.87273491132374e-29,"Up",28.7275236933653
"Pabpn1",9.48319524604199e-32,1.26994923880977,0.962,0.828,1.67321496921165e-27,"Up",26.7764482587119
"Chd5",1.83487113559381e-24,1.58770432601265,0.795,0.461,3.23744663164172e-20,"Up",19.4897973820689
"Arglu1",6.9977167191564e-24,1.27050822122335,0.865,0.714,1.23467713792795e-19,"Up",18.9084465934551
"Cdk8",1.96559817213231e-22,1.38047554174602,0.833,0.583,3.46810141491024e-18,"Up",17.4599082112847
"Nrg3",1.27603579900181e-20,-1.25487859548776,0.885,0.947,2.25143756375879e-16,"Down",15.647540092268
"Rbm25",4.40695588319324e-20,0.911967437683855,0.936,0.84,7.77563296030616e-16,"Up",15.1092642479629
"Fam155a",1.31333618664967e-19,-0.916464676885579,0.917,0.974,2.31725036772468e-15,"Down",14.635027040251
"Lsamp",6.57895366372993e-19,-1.10989830796732,1,0.994,1.16079058442851e-14,"Down",13.9352461232679
"EGFP",6.91555120808782e-19,1.06774460663583,0.987,0.727,1.22017985515502e-14,"Up",13.9135761493709
"Ksr2",6.66451711059146e-18,-1.34318849431027,0.308,0.743,1.17588739899276e-13,"Down",12.9296342635808
"Akap8l",7.42148410205538e-18,0.920868095300368,0.91,0.806,1.30944665496665e-13,"Up",12.8829121894308
"Unc5d",9.63706403544194e-18,-1.89572951733905,0.353,0.717,1.70036357841338e-13,"Down",12.7694582061417
"Cadm1",1.09438329968943e-17,-1.28563630129421,0.442,0.804,1.93092989397203e-13,"Down",12.7142334938093
"Gm26871",2.56286199783376e-17,-1.3600760773413,0.417,0.765,4.52191370897789e-13,"Down",12.3446777294901
"Dlg2",3.30613960368788e-17,-0.835786022861035,0.974,0.978,5.83335271674689e-13,"Down",12.2340817629313
"5330434G04Rik",1.32199920836906e-16,-1.74783082222674,0.199,0.591,2.33253540324637e-12,"Down",11.6321717558053
"Chd3",7.71156959210871e-16,1.27419548410326,0.724,0.462,1.36062933883166e-11,"Up",10.8662601687162
"Spock1",1.04157774228458e-15,-1.98420747299889,0.16,0.536,1.83775976848691e-11,"Down",10.7357112601095
"Akap6",1.70001583199068e-15,-1.01903915950623,0.506,0.842,2.99950793396436e-11,"Down",10.5229499849776
"Pbx1",6.40861614915082e-15,-1.7853591903522,0.179,0.552,1.13073623335617e-10,"Down",9.94663869105836
"Adgrb3",8.27020007952638e-15,-0.930639531659809,0.846,0.934,1.45919410203164e-10,"Down",9.83588693440237
"Smyd3",1.10391611774096e-14,-1.50247130871614,0.224,0.6,1.94774959814214e-10,"Down",9.71046687658222
"Gm47283",1.20034404053518e-14,1.22617396924032,0.769,0.563,2.11788702512027e-10,"Up",9.67409721026983
"Gm26917",1.34411520132701e-14,0.678235455393125,0.987,0.95,2.37155686122138e-10,"Up",9.62496645810102
"Anks1b",1.34586744850175e-14,-0.810809766895085,0.795,0.945,2.37464852613649e-10,"Down",9.62440066159925
"Nlgn1",1.61160701121183e-14,-1.0792942792609,0.782,0.923,2.84351941058215e-10,"Down",9.5461438027978
"Pnisr",3.69154603447407e-14,0.644138687370945,0.987,0.96,6.51336382322606e-10,"Up",9.18619466234389
"Pcdh7",4.22222050547976e-14,-1.49892674522783,0.353,0.692,7.44968585986849e-10,"Down",9.12786204029897
"Rtn1",4.58149506119201e-14,-1.00802290098213,0.494,0.826,8.08358988596719e-10,"Down",9.09239572815766
"1700016P03Rik",4.99023270794398e-14,3.06953788845889,0.321,0.095,8.80476658989636e-10,"Up",9.05528215248076
"Atxn1",6.14441541352732e-14,-1.17511191726033,0.321,0.695,1.08412065556276e-09,"Down",8.96492238096265
"Nrxn3",7.408294636996e-14,-1.20662028492006,0.968,0.917,1.30711950575158e-09,"Down",8.88368470445019
"Grid2",8.76034521783685e-14,-1.0477326107841,0.859,0.914,1.54567531023513e-09,"Down",8.81088173019958
"Malat1",8.93006859892748e-14,0.451789996486204,1,1,1.57562130359476e-09,"Up",8.80254815583249
"Cadm2",1.01632138513013e-13,-1.35056802467587,0.385,0.749,1.79319745192359e-09,"Down",8.74637188692442
"Trpm3",1.11275553393386e-13,-2.13520919519395,0.276,0.607,1.9633458640729e-09,"Down",8.70700318810895
"Matk",1.19346556848766e-13,1.08753250469181,0.756,0.589,2.10575064903963e-09,"Up",8.67659305677709
"Gabrb3",1.39923274545922e-13,-1.40268950605893,0.308,0.646,2.46880625608824e-09,"Down",8.60751299075389
"Adgrl3",1.45100066462556e-13,-1.44759132824336,0.359,0.684,2.56014557266535e-09,"Down",8.59173533952884
"Efna5",1.47857030945699e-13,-2.0453943687149,0.141,0.479,2.60878945400591e-09,"Down",8.58356096982779
"Csrnp3",1.55952115148887e-13,-1.69171562531746,0.16,0.505,2.75161911968697e-09,"Down",8.56041168150703
"Tenm2",1.7093468517213e-13,-1.44904639144374,0.615,0.798,3.01597158517706e-09,"Down",8.52057275446637
"Fgf14",1.75818970086452e-13,-0.656406218962024,0.974,0.989,3.10214990820535e-09,"Down",8.50833721918092
"Ncam1",2.11417610827571e-13,-0.871617061222244,0.487,0.846,3.73025232544166e-09,"Down",8.42826179021796
"Hmgcll1",2.13371477279469e-13,-2.80999964331317,0.051,0.354,3.76472634511896e-09,"Down",8.42426658682692
"Zfhx3",2.44045748146718e-13,-1.1934165744714,0.577,0.802,4.30594318030069e-09,"Down",8.3659317052707
"Auts2",3.07653433649084e-13,-1.2126718774262,0.455,0.761,5.42823718330443e-09,"Down",8.26534118438189
"Prickle2",3.12577791669527e-13,-1.56178344651877,0.224,0.558,5.51512255621713e-09,"Down",8.25844483229044
"Rims1",3.25774427018058e-13,-1.15065887353579,0.378,0.741,5.74796399030662e-09,"Down",8.24048596128592
"Pde4d",4.28346040920724e-13,-0.994242280259867,0.622,0.868,7.55773754600525e-09,"Down",8.12160819369722
"Dscam",4.99785307445358e-13,-0.816002324868318,0.712,0.914,8.81821196456590e-09,"Down",8.05461946618843
"Zranb2",5.77938670250316e-13,0.79831242960389,0.846,0.769,1.01971498978966e-08,"Up",7.99152119653028
"Ptprg",5.85627990638871e-13,-1.46394875422563,0.263,0.615,1.03328202668322e-08,"Down",7.98578112483528
"Rtn3",6.34595966230675e-13,-1.111099712495,0.321,0.681,1.1196811228174e-08,"Down",7.95090564368601
"Ccdc85a",7.95839799716274e-13,-1.81267377761149,0.141,0.47,1.40417974261939e-08,"Down",7.85257729659979
"Akt3",1.02795148840511e-12,-1.89572951733905,0.128,0.448,1.81371760614198e-08,"Down",7.74143033119069
"Nrxn1",1.1482504601355e-12,-0.613777442881652,0.994,0.982,2.02597311186308e-08,"Down",7.69336632276991
"Gabrb1",1.23664213770109e-12,-0.946487542212367,0.647,0.855,2.1819313877598e-08,"Down",7.66115891020314
"Grid1",1.36674848620892e-12,-1.20651705462121,0.397,0.714,2.41149102906702e-08,"Down",7.61771434934813
"Tmem108",1.45675783379271e-12,-1.68927863987163,0.167,0.503,2.57030352194386e-08,"Down",7.59001558868349
"Grip1",1.5222835318663e-12,-1.10585471561602,0.481,0.789,2.68591706362489e-08,"Down",7.57090740170682
"Negr1",2.30371231988518e-12,-0.893734548077779,0.788,0.895,4.06467001720541e-08,"Down",7.39097470604133
"Zcchc7",2.48859011641871e-12,-1.08666097702452,0.295,0.65,4.39086840140917e-08,"Down",7.35744957892801
"Lrch1",2.57586472766667e-12,-1.93061503498291,0.109,0.417,4.54485572549507e-08,"Down",7.34247989871613
"Frmd4a",3.25478755805674e-12,-0.649595427257584,0.923,0.967,5.7427471674353e-08,"Down",7.24088030372663
"Map2k4",3.55716402985554e-12,-1.93225539336417,0.109,0.415,6.27626021427711e-08,"Down",7.20229905882603
"Mbd5",3.97243302149342e-12,-1.15876392317285,0.256,0.606,7.00896082312299e-08,"Down",7.15434636751668
"Snx29",4.40604051390815e-12,-2.3107670166179,0.083,0.372,7.77401788273954e-08,"Down",7.10935446468672
"Tmem178b",4.44297209651666e-12,-0.983192358589391,0.397,0.752,7.839179967094e-08,"Down",7.10572936517175
"Dip2c",4.49708808861227e-12,-1.03767393927451,0.314,0.67,7.93466222354749e-08,"Down",7.10047155631578
"Prkn",5.22549819283028e-12,-0.939310150898116,0.462,0.769,9.21986901142974e-08,"Down",7.03527524901333
"Sh3gl2",5.99923137895106e-12,-3.12264449736619,0.032,0.301,1.05850438450213e-07,"Down",6.97530733872049
"Rora",6.77373612790999e-12,-1.09422616354256,0.506,0.787,1.19515800240844e-07,"Down",6.92257467627393
"Sh3kbp1",7.24572627810191e-12,-2.6807166263682,0.038,0.312,1.2784359445083e-07,"Down",6.89332102723365
"Jazf1",9.84216570829872e-12,-1.41219041702092,0.186,0.512,1.73655171757223e-07,"Down",6.76031227810515
"Sybu",1.09922000610206e-11,-1.8811812087699,0.103,0.404,1.93946377876648e-07,"Down",6.71231832682893
"Samd12",1.10724902141951e-11,-1.15876392317285,0.295,0.635,1.95363017339259e-07,"Down",6.7091576457637
"Car10",1.15280290274689e-11,-1.41855525840728,0.353,0.637,2.03400544160661e-07,"Down",6.69164788953689
"Rufy3",1.16090494950327e-11,-1.42558741861975,0.179,0.494,2.04830069290356e-07,"Down",6.68860628808538
"Ttc8",1.29422342669522e-11,-2.11494769088036,0.051,0.332,2.28352781406104e-07,"Down",6.64139369418632
"Celf2",1.62337201661842e-11,-1.4874997311211,0.34,0.653,2.86427758612154e-07,"Down",6.54298489548464
"Gnaq",1.66345224432777e-11,-1.89067628961277,0.109,0.402,2.93499513989192e-07,"Down",6.53239261357135
"Ppp3ca",1.8232827008807e-11,-1.25879274150412,0.295,0.618,3.21699999743391e-07,"Down",6.49254893944445
"Csmd1",1.85868301231433e-11,-0.803226414717741,0.878,0.958,3.27946030692741e-07,"Down",6.48419762122992
"Dgki",2.0689491398031e-11,-1.32457281614293,0.244,0.569,3.65045386226859e-07,"Down",6.43765313619423
"Rbfox2",3.7024305004421e-11,-1.06235096737983,0.269,0.593,6.53256837498004e-07,"Down",6.18491603591045
"Luc7l3",3.84606132796471e-11,0.617753104074166,0.942,0.908,6.78599060706093e-07,"Up",6.16838674582624
"Sorbs2",4.26071720636201e-11,-1.26418488040903,0.269,0.58,7.51760943890513e-07,"Down",6.12392024086407
"Gmds",4.6684022105722e-11,-1.823321021811,0.09,0.376,8.23692886033358e-07,"Down",6.08423468485983
"Ccser1",4.86492131848892e-11,-0.781095734635269,0.692,0.888,8.58366717434185e-07,"Down",6.06632713017876
"Epb41l4b",5.77221085785764e-11,-1.52133400255755,0.135,0.435,1.0184488837604e-06,"Down",5.99206076348059
"Dpp6",6.94024494779709e-11,-0.677409966564256,0.814,0.954,1.22453681858932e-06,"Down",5.91202815225443
"Abr",8.41017725156052e-11,-0.99815733026325,0.333,0.672,1.48389167426534e-06,"Down",5.82859780187771
"Lrrtm3",8.80485155470435e-11,-1.50562991981011,0.167,0.464,1.55352800831204e-06,"Down",5.80868091251154
"Mcph1",9.58472978399182e-11,-2.05327079432553,0.064,0.332,1.69112972308752e-06,"Down",5.7718230772868
"Syt16",9.87823486783655e-11,-1.41768222053441,0.141,0.442,1.74291576008108e-06,"Down",5.75872360303117
"Cdh2",1.03162940975087e-10,-1.71885175525497,0.141,0.426,1.82020693056443e-06,"Down",5.73987923635905
"Slc25a12",1.0349364505287e-10,-1.32674065282564,0.147,0.455,1.82604187331284e-06,"Down",5.73848926779833
"Snap25",1.04012207475167e-10,-1.16052438103728,0.231,0.545,1.83519138869185e-06,"Down",5.73631863728739
"Rnf130",1.14204771433709e-10,-1.61807957420099,0.135,0.418,2.01502898717637e-06,"Down",5.69571870193965
"Cntn1",1.27095631417846e-10,-0.82831454069325,0.359,0.71,2.24247532073647e-06,"Down",5.64927232782766
"Sgcz",1.3781519004221e-10,-1.34693217379105,0.641,0.82,2.43161121310475e-06,"Down",5.61410586258226
"Susd4",1.5109297481932e-10,-1.44971107472705,0.128,0.428,2.66588444771208e-06,"Down",5.57415867893139
"Dennd1a",1.5823764524086e-10,-0.883111112924851,0.353,0.686,2.79194501262974e-06,"Down",5.55409313939653
"Fgf12",1.60066940786236e-10,-0.712183625004335,0.667,0.877,2.82422110323235e-06,"Down",5.54910130614896
"Ntm",1.60614378020449e-10,-1.16780906277585,0.519,0.767,2.8338800857928e-06,"Down",5.54761853065183
"Dock3",1.64735908496967e-10,-0.749694832943146,0.462,0.82,2.90660036952049e-06,"Down",5.53661467557142
"Hcn1",1.86143468520586e-10,-2.14615809186708,0.115,0.385,3.28431535857722e-06,"Down",5.48355514877722
"Foxp1",1.97170002528413e-10,-1.28980739798225,0.179,0.497,3.47886752461133e-06,"Down",5.45856210888556
"Plcb1",2.31797184654674e-10,-1.31016375713142,0.301,0.604,4.08982952604708e-06,"Down",5.38829479405624
"Kdm6b",2.51595836978267e-10,1.88414466829645,0.474,0.246,4.43915694764454e-06,"Up",5.35269950009943
"Slc8a1",2.52396661467792e-10,-1.2272575278566,0.378,0.664,4.45328669493773e-06,"Down",5.351319344837
"Slc4a3",2.7115664202328e-10,1.27290563597006,0.596,0.426,4.78428779185875e-06,"Up",5.32018270388233
"Srrm1",2.93817860749711e-10,0.645979785428221,0.853,0.831,5.18412233506789e-06,"Up",5.28532475852287
"Kcnd2",2.99086263405865e-10,-1.06228766768297,0.878,0.89,5.27707803153308e-06,"Down",5.2776064839139
"Amph",3.38972490638825e-10,-1.49907054737506,0.141,0.426,5.98083062483143e-06,"Down",5.22323849649153
"Ssh2",3.91848131114023e-10,-0.972897377861512,0.282,0.611,6.91376842537582e-06,"Down",5.16028517111495
"Specc1",4.29473289128796e-10,-1.34213118752723,0.192,0.479,7.57762671338848e-06,"Down",5.12046679260926
