"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p","gene_label"
"Cmss1",1.84632246761842e-91,2.53226429307311,1,0.961,3.25765136186594e-87,"Up",86.4870953963073,"Cmss1"
"Gm19951",1.58613678815961e-62,2.01382759192869,0.995,0.734,2.79857974902882e-58,"Up",57.5530623128167,"Gm19951"
"AC149090.1",2.8084008922042e-60,1.63748513861404,1,0.919,4.95514253420509e-56,"Up",55.3049438485594,"AC149090.1"
"Gphn",1.13476200330412e-59,1.50645285502633,1,0.978,2.00217407862979e-55,"Up",54.6984981655672,"Gphn"
"Camk1d",6.06327441104517e-56,2.16011672258631,0.976,0.64,1.06980413708481e-51,"Up",50.9706957269592,"Camk1d"
"Gm42418",2.69949206607761e-50,0.930419242827353,1,1,4.76298380138734e-46,"Up",45.3221208954945,""
"Lars2",3.81075099560182e-49,1.35180035925449,1,0.818,6.72368905663985e-45,"Up",44.1723923791273,""
"Pabpn1",8.99518966590791e-47,1.45283732954109,0.981,0.828,1.58711126465279e-42,"Up",41.7993926259037,""
"AY036118",3.44189939145277e-45,1.29662349954955,1,0.85,6.07288728627927e-41,"Up",40.2166047793749,""
"Srrm2",1.02836597918309e-39,1.28712414703465,0.991,0.897,1.81444893367064e-35,"Up",34.7412552501899,""
"EGFP",3.51852222909755e-36,1.36219196510109,0.991,0.727,6.20808062101971e-32,"Up",31.2070426517633,""
"Akap8l",2.42731417341594e-32,1.13240488359352,0.953,0.806,4.28275312757508e-28,"Up",27.3682769590898,""
"Gm47283",2.62512641729578e-24,1.58089933962968,0.797,0.563,4.63177305067667e-20,"Up",19.3342527284804,""
"Tia1",5.74631821522491e-24,-1.64295133817487,0.175,0.637,1.01388038589428e-19,"Down",18.9940132785434,"Tia1"
"Ppp3ca",6.43800792475415e-24,-1.76020466625864,0.17,0.618,1.13592211824362e-19,"Down",18.9446514439564,"Ppp3ca"
"Clasp2",1.79971792124699e-23,-1.31513455376873,0.278,0.767,3.17542230024819e-19,"Down",18.4981985095936,"Clasp2"
"Rbm25",5.16586562579566e-23,1.01307090732316,0.972,0.84,9.11465331015387e-19,"Up",18.0402598457529,""
"5330434G04Rik",6.23437808987506e-23,-1.77531155864885,0.156,0.591,1.09999367017756e-18,"Down",17.9586098139462,"5330434G04Rik"
"Adgrb3",5.3418388176648e-22,-1.04121588384538,0.962,0.934,9.42514040988777e-18,"Down",17.0257121712245,"Adgrb3"
"Ubr3",1.04216272132266e-21,-1.48698313265114,0.165,0.609,1.83879190550169e-17,"Down",16.735467416714,""
"Rtn3",5.44069969548398e-21,-1.32167122014625,0.241,0.681,9.59957054271193e-17,"Down",16.0177481956169,""
"Cdk8",8.35501561999946e-21,1.30610841769308,0.755,0.583,1.4741589559927e-16,"Up",15.8314556847345,""
"Arglu1",1.44478346169983e-20,1.06682469648486,0.858,0.714,2.54917593982319e-16,"Up",15.5936001892238,""
"Ptprg",1.77741457741845e-20,-1.76896346617665,0.212,0.615,3.13607028039711e-16,"Down",15.5036142131921,""
"Astn1",1.84502151795273e-20,-1.54736781728341,0.16,0.582,3.25535596627579e-16,"Down",15.487401515318,""
"Snap25",5.78826359568791e-20,-1.67343194462963,0.142,0.545,1.02128122882317e-15,"Down",14.9908546503634,""
"Pbx1",5.99524025912437e-20,-1.89982322836895,0.16,0.552,1.0578001913199e-15,"Down",14.975596358768,""
"Samd12",6.35380627726718e-20,-1.44747682279476,0.212,0.635,1.12106557956102e-15,"Down",14.9503689815099,""
"Slc25a12",1.83458304432127e-19,-2.11029580636165,0.09,0.455,3.23693832340046e-15,"Down",14.4898655755625,""
"B830012L14Rik",2.03035442184651e-19,-1.78464942322818,0.123,0.514,3.58235734190598e-15,"Down",14.4458310952381,""
"Gabrb3",2.82873719843595e-19,-1.42070991323198,0.231,0.646,4.99102391292038e-15,"Down",14.3018103493436,""
"Trpm3",3.75256319238384e-19,-2.18179875456376,0.236,0.607,6.62102249664205e-15,"Down",14.179074936488,""
"Lsamp",3.77069157787046e-19,-1.03313138214055,1,0.994,6.65300821999464e-15,"Down",14.1769819399695,""
"Ccdc85a",5.04416019337323e-19,-2.05165861922731,0.104,0.47,8.89991624518772e-15,"Down",14.050614080369,""
"Foxp1",1.04296468035023e-18,-1.7323256336832,0.118,0.497,1.84020688200994e-14,"Down",13.7351333494553,""
"Fus",1.17064050391216e-18,-1.4260118566116,0.16,0.561,2.06547810510261e-14,"Down",13.6849794043589,""
"Pcdh7",1.3453736347349e-18,-1.59027966481632,0.33,0.692,2.37377724112625e-14,"Down",13.6245600383253,""
"Prkg1",1.49498988730567e-18,-1.92031230493093,0.245,0.615,2.63776015716212e-14,"Down",13.5787646959604,""
"Mbd5",2.63279808412302e-18,-1.28762167997003,0.189,0.606,4.64530893962666e-14,"Down",13.3329853976416,""
"Pnisr",3.00317866021266e-18,0.660313678220429,0.991,0.96,5.29880842807921e-14,"Up",13.2758217815863,""
"Fam155a",3.24089606695902e-18,-0.732048141390057,0.972,0.974,5.7182370205425e-14,"Down",13.2427378471277,""
"Akt3",3.5462734666416e-18,-1.88368188957452,0.09,0.448,6.25704490454244e-14,"Down",13.2036307282373,""
"Rmst",3.80409172253746e-18,-1.84080485794687,0.245,0.602,6.71193943524509e-14,"Down",13.1731519709901,""
"Atxn1",3.99587611586383e-18,-1.12804570031738,0.264,0.695,7.05032381883015e-14,"Down",13.1517909355616,""
"Nrg3",4.44331071321726e-18,-0.989222894286653,0.972,0.947,7.83977742240053e-14,"Down",13.1056962671109,""
"Clasp1",7.45877259314482e-18,-1.67022951259129,0.113,0.479,1.31602583633447e-13,"Down",12.8807355845311,""
"Gm26917",7.7393925549613e-18,0.671611065081873,1,0.95,1.36553842239737e-13,"Up",12.8646960755313,""
"Garnl3",7.77092802552511e-18,-1.20584013967019,0.222,0.624,1.37110254082365e-13,"Down",12.8629300643581,""
"Csrnp3",8.54895613640561e-18,-1.45616195590577,0.127,0.505,1.50837782070741e-13,"Down",12.8214898621158,""
"Chd5",1.38483091117139e-17,1.4829178634231,0.642,0.461,2.44339565967081e-13,"Up",12.6120062019179,""
"Pacsin1",1.46519592797577e-17,0.876765137930848,0.91,0.791,2.58519169532045e-13,"Up",12.5875072478764,""
"Dlg2",1.74102320760007e-17,-0.724368653461454,0.995,0.978,3.07186134748956e-13,"Down",12.512598390652,""
"Sorcs1",1.75214696516908e-17,-1.71689931470413,0.264,0.615,3.09148810534433e-13,"Down",12.5098324201317,""
"Snx29",1.75760830301945e-17,-2.57271300667703,0.057,0.372,3.10112408984751e-13,"Down",12.50848085535,""
"Mllt3",1.91868789158145e-17,-1.92201646383711,0.071,0.406,3.38533291590631e-13,"Down",12.4703986160685,""
"Cpeb3",2.18852299662918e-17,-1.69670172395248,0.113,0.466,3.86142997525252e-13,"Down",12.4132518364276,""
"Stag1",4.15707186360912e-17,-1.3955050706492,0.198,0.578,7.33473759615193e-13,"Down",12.1346154186417,""
"Brinp3",6.39173302963624e-17,-1.61314598066464,0.236,0.6,1.12775737574902e-12,"Down",11.947784323852,""
"Spock1",9.42679474217375e-17,-1.61479805685241,0.179,0.536,1.66326366430914e-12,"Down",11.7790388999819,""
"Mdga2",1.05797608983601e-16,-0.940855324745939,0.948,0.928,1.86669301290666e-12,"Down",11.7289270980996,""
"Dzank1",1.19155130634318e-16,-1.71105701692955,0.09,0.428,2.1023731249119e-12,"Down",11.6772902037647,""
