"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",4.49048766997449e-16,1.54236656108514,1,1,4.3126643582435e-12,15.3477064917632,"Up","Cmss1"
"Gm3764",1.15023891981705e-13,-1.53008617220108,0.784,0.991,1.10468945859229e-09,12.9392119415759,"Down",NA
"Snhg11",1.42143750045768e-08,1.07079924266639,0.961,0.848,0.000136514857543956,7.84727223115685,"Up","Snhg11"
"Ndrg2",9.12509296383774e-08,-1.65861954244647,0.353,0.777,0.000876373928246977,7.03976270238096,"Down","Ndrg2"
"Lars2",1.2399340707078e-07,0.541056025457556,0.941,0.804,0.00119083268150778,6.90660140636116,"Up","Lars2"
"AY036118",1.54669601856705e-07,1.04549449650416,0.922,0.723,0.0014854468562318,6.81059503240999,"Up","AY036118"
"Gm40578",3.93126253050175e-07,-3.09388911040977,0.059,0.464,0.00377558453429388,6.40546795293871,"Down",NA
"Meg3",6.10990426096756e-07,1.03321515700323,0.98,0.911,0.00586795205223325,6.21396559487353,"Up","Meg3"
"Npas3",1.41574562619897e-06,-1.15287273089663,0.549,0.92,0.0135968209940149,5.84901477140766,"Down","Npas3"
"AC149090.1",1.7567557535818e-06,1.49338355099858,0.765,0.616,0.0168718822573996,5.75528861542288,"Up",NA
"Slc6a11",1.94555578137001e-06,-1.46453249033016,0.314,0.732,0.0186851177242775,5.7109563129487,"Down","Slc6a11"
"Mir9-3hg",2.61500332693289e-06,-2.08349393904739,0.196,0.58,0.0251144919518634,5.58252775426605,"Down","Mir9-3hg"
"C130071C03Rik",3.46155361306642e-06,-2.90946453927234,0.059,0.42,0.0332447608998899,5.46072893758177,"Down","C130071C03Rik"
"Adgrl3",3.96206305378339e-06,-1.55213110825378,0.314,0.67,0.0380516535685357,5.40207861721436,"Down",NA
"Ptch1",3.99366085112944e-06,-1.61995792207736,0.255,0.661,0.0383551188142472,5.39862881896881,"Down",NA
"Gm19951",4.26086825139206e-06,1.14369978971384,0.804,0.661,0.0409213786863693,5.37050189423842,"Up",NA
"Gphn",6.53381185323283e-06,0.229566454224184,1,0.902,0.0627507290384481,5.184833375566,"Not significant",NA
"Gm6145",6.78640369509986e-06,-1.44171765242304,0.275,0.67,0.065176621087739,5.16836030953919,"Down",NA
"Zbtb16",1.00757312594918e-05,2.37196877738696,0.392,0.107,0.0967673230161595,4.99672342454791,"Up",NA
"Plpp3",1.5931500386796e-05,-1.13355925583979,0.373,0.759,0.153006129714789,4.79774332156096,"Down",NA
"Arhgef12",2.11756697300516e-05,-1.3307339922627,0.275,0.652,0.203371132087415,4.67416284520192,"Down",NA
"Ache",3.85500839210465e-05,3.45685767497347,0.176,0.009,0.37023500597773,4.41397467218092,"Up","Ache"
"Pdzrn4",4.13532574339688e-05,1.9650045786438,0.275,0.045,0.397156684395836,4.38349027498983,"Up",NA
"Pnisr",4.44533958068756e-05,0.629534336683271,1,0.929,0.426930413329233,4.35209505755413,"Up",NA
"Gm42418",4.83956393098223e-05,0.434180275478685,1,1,0.464791719931533,4.31519376870684,"Up",NA
"Tprkb",6.37074360310668e-05,-1.45003292063505,0.118,0.455,0.611846215642366,4.1958098731783,"Down",NA
"Prex1",6.53418066306936e-05,-3.3886323759709,0.02,0.295,0.627542710881181,4.18480886191913,"Down","Prex1"
"Srrm2",7.99925876008007e-05,1.0684341682992,0.745,0.58,0.76824881131809,4.09695025442324,"Up",NA
"Dtna",9.5057318254324e-05,-0.940837927531856,0.431,0.741,0.912930484514527,4.02201444213233,"Down",NA
"Hdac8",9.5368585682985e-05,-0.912033898884478,0.49,0.821,0.915919896899387,4.02059465790903,"Down",NA
"Aox1",9.67848406911366e-05,-4.0349954213562,0,0.25,0.929521609997676,4.01419266045765,"Down","Aox1"
"Ahcyl1",0.000117199900982743,-1.76123460892935,0.137,0.446,1,3.93107275523488,"Down",NA
"Trpm3",0.000150412569110951,-0.693916920704235,0.843,0.991,1,3.82271587074274,"Down",NA
"Sash1",0.00017742626392995,-1.45003292063505,0.235,0.536,1,3.75098209230819,"Down",NA
"Podxl2",0.000221198624849538,2.54996707936495,0.235,0.045,1,3.65521757728648,"Up",NA
"Camkv",0.00022957466458191,2.59436119872341,0.196,0.027,1,3.63907604153272,"Up",NA
"Cdk5r1",0.000231590879861455,3.94228450214371,0.118,0,1,3.63527854729276,"Up","Cdk5r1"
"Spag6l",0.000231917844728823,4.13492958008611,0.118,0,1,3.63466583364275,"Up","Spag6l"
"Lrp1",0.00023445201534806,-1.04829224396966,0.255,0.616,1,3.62994602971643,"Down",NA
"Pabpn1",0.000239078586585352,1.01945236266617,0.686,0.545,1,3.62145932034713,"Up",NA
"Igf1r",0.000289286564365955,-1.78260825972192,0.137,0.42,1,3.53867173626984,"Down",NA
"Cap2",0.000302226074213753,-2.4011233201541,0.078,0.339,1,3.51966807011393,"Down",NA
"Cadm2",0.000322172134209677,-0.876182375034116,0.667,0.893,1,3.49191202593519,"Down",NA
"Elmo2",0.000336824580565546,-2.45003292063505,0.039,0.286,1,3.47259622235515,"Down",NA
"Fnbp1",0.000358545877183429,-0.853755106686057,0.314,0.643,1,3.44545526696168,"Down",NA
"Nebl",0.000457186793024079,-1.14191062527272,0.333,0.625,1,3.33990632377022,"Down",NA
"Gpc1",0.000463915085749148,3.13492958008611,0.137,0.009,1,3.33356150471538,"Up","Gpc1"
"Ptgds",0.000463915085749148,3.13492958008611,0.137,0.009,1,3.33356150471538,"Up","Ptgds"
"Tspan9",0.000467565933966873,-2.06146763271739,0.078,0.339,1,3.3301571382911,"Down",NA
"Tpcn1",0.000474857686679589,-2.4093909361377,0.039,0.277,1,3.32343652753375,"Down",NA
"Neo1",0.000474857686679589,-2.4093909361377,0.039,0.277,1,3.32343652753375,"Down",NA
"Begain",0.000504624435254977,2.04182017569463,0.255,0.062,1,3.29703172361737,"Up",NA
"Timp3",0.000534312286506589,-2.12810482574769,0.078,0.33,1,3.27220483910427,"Down",NA
"Cadps2",0.000602832799621262,3.00939869800225,0.157,0.018,1,3.21980312612019,"Up",NA
"Rhoq",0.000613813889307678,-2.0349954213562,0.078,0.33,1,3.21196328862913,"Down",NA
"Meaf6",0.000639660514603854,2.71989208080726,0.157,0.018,1,3.19405045687806,"Up",NA
"Glud1",0.000656330225270961,-1.34311771671854,0.216,0.491,1,3.1828775951852,"Down",NA
"Wwc1",0.000679267261230821,-1.79106983847011,0.176,0.429,1,3.16795931667592,"Down",NA
"Arhgef10l",0.000711086184280889,-2.06670428108354,0.078,0.321,1,3.14807775920091,"Down",NA
"Slc25a18",0.000718152698874659,-2.18699851480125,0.059,0.295,1,3.1437832030727,"Down",NA
"Gps2",0.000731158360749944,1.8353692982272,0.235,0.054,1,3.13598854951089,"Up",NA
"Mtss2",0.000846155403179545,-1.4973386354134,0.157,0.42,1,3.07254986799483,"Down",NA
"Lsamp",0.000846689739506445,-0.518862772589328,1,1,1,3.07227570313461,"Down",NA
"Xylt1",0.00096201607659327,-1.55538592078128,0.176,0.429,1,3.01681767025179,"Down",NA
"Cecr2",0.000972309517708439,-3.3886323759709,0,0.188,1,3.01219546302111,"Down","Cecr2"
"Parvb",0.000976754128884601,-3.45003292063505,0,0.188,1,3.0102147442721,"Down","Parvb"
"Gpm6b",0.00105116303992675,-1.50448070465742,0.176,0.429,1,2.97832991779767,"Down",NA
"Camk1d",0.00105993442486822,1.39272733755376,0.627,0.518,1,2.97472100246997,"Up",NA
"Kifc2",0.00112420361855664,1.48856653470081,0.373,0.152,1,2.94915502114533,"Up",NA
"Ryr3",0.00117340029877257,1.13492958008611,0.294,0.089,1,2.9305538055391,"Up",NA
