"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",8.74884556273307e-15,1.54856998922517,1,1,8.40239127844884e-11,14.058049249699,"Up","Cmss1"
"Malat1",5.667473997973e-14,-0.664898591546209,1,1,5.44304202765327e-10,13.2466104637136,"Down","Malat1"
"AC149090.1",3.17172842740125e-11,1.73860875498266,0.903,0.616,3.04612798167616e-07,10.4987040053173,"Up","AC149090.1"
"Gm3764",1.18285175601516e-08,-0.982797909925062,0.722,0.991,0.000113601082647696,7.92706968105154,"Down",NA
"Camk1d",2.18036975420842e-07,1.38065450525318,0.806,0.518,0.00209402711194177,6.66146985107632,"Up","Camk1d"
"Gm19951",3.59888930668602e-06,1.28550246519109,0.806,0.661,0.0345637329014125,5.44383151101165,"Up",NA
"Pnpla7",4.42600588805959e-06,-1.22055107451228,0.167,0.527,0.0425073605489243,5.3539880126523,"Down","Pnpla7"
"Ndrg2",9.28824284728249e-06,-1.01861567816735,0.458,0.777,0.0892042843053011,5.03206643820316,"Down","Ndrg2"
"Sparcl1",1.1333601223779e-05,-0.795180208111502,0.722,0.929,0.108847906153174,4.9456320722097,"Down","Sparcl1"
"Nebl",1.51860502179902e-05,-1.21056698593966,0.319,0.625,0.145846826293578,4.81855516830902,"Down","Nebl"
"Gphn",1.67626438138e-05,0.250641898140621,0.944,0.902,0.160988431187736,4.7756574831286,"Up","Gphn"
"Cfap46",2.05947796081229e-05,3.39231742277876,0.222,0.027,0.197792263356413,4.68624285121852,"Up","Cfap46"
"Gm6145",2.54019360377436e-05,-1.12477296504994,0.389,0.67,0.243960193706489,4.59513318186564,"Down",NA
"Xpr1",2.80805065350615e-05,-2.90689059560852,0.028,0.268,0.26968518476273,4.55159506237564,"Down",NA
"Arhgef12",3.05744932858187e-05,-0.972623561068695,0.333,0.652,0.293637433517002,4.51464073183858,"Down",NA
"Igf1r",4.59117688509051e-05,-1.74959320249396,0.139,0.42,0.440936628044093,4.33807597477071,"Down",NA
"Slc7a10",4.67435576059124e-05,-1.11929892837234,0.5,0.759,0.448925127247183,4.33027823696264,"Down",NA
"Slc6a11",6.17572840490678e-05,-0.816601710279416,0.431,0.732,0.593116956007247,4.20931181157839,"Down",NA
"Aox1",6.8131532752071e-05,-2.94753258010586,0.028,0.25,0.65433524055089,4.166651840647,"Down",NA
"Dscaml1",6.84484705453632e-05,2.63742992061529,0.222,0.036,0.657379111117668,4.16463625156403,"Up",NA
"Plpp3",7.64724090781072e-05,-0.732938529329824,0.431,0.759,0.734441016786141,4.11649522819935,"Down",NA
"Rbfox3",7.9458833368973e-05,1.98138432183265,0.278,0.062,0.763122635675616,4.09985781563526,"Up",NA
"Tspan5",8.64035245544005e-05,-1.57888798631147,0.194,0.464,0.829819449820462,4.06346854151061,"Down",NA
"Lama2",0.000119409741201963,-1.36257007938471,0.236,0.518,1,3.92296024290769,"Down",NA
"Cdh10",0.000152836722659701,-1.27330274128762,0.236,0.518,1,3.81577228363783,"Down",NA
