"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",0.00132019515686633,2.98994633533608,1,0.8,1,2.87936186479007,"Up","Cmss1"
"Snhg11",0.00259771036524093,1.88582898008069,1,0.7,1,2.58540927273556,"Up","Snhg11"
"Ssh2",0.00300300352720306,-2.58496250072116,0.167,1,1,2.52244415769648,"Down","Ssh2"
"Gm19951",0.00515362552260753,2.05889368905357,1,0.4,1,2.28788714173655,"Up",NA
"Otud7a",0.00522462344006134,3.73696559416621,0.667,0,1,2.28194500546509,"Up","Otud7a"
"Lrch1",0.00586582773405921,-3.0703893278914,0,0.8,1,2.23167069540355,"Down","Lrch1"
"Pou2f2",0.00608011013586344,-3.43295940727611,0,0.8,1,2.21608855379231,"Down","Pou2f2"
"Srrm2",0.00611918040992809,1.92139016530363,1,0.7,1,2.21330674244296,"Up","Srrm2"
"Sltm",0.00645895426689299,2.47393118833241,0.833,0.2,1,2.18983779050041,"Up","Sltm"
"Maml2",0.0125074544376298,-2.58496250072116,0,0.7,1,1.90283107049708,"Down","Maml2"
"Lars2",0.0125172689616226,2.52123690311077,0.833,0.3,1,1.9024904158762,"Up",NA
"Asph",0.0125893058200776,-2.72246602447109,0,0.7,1,1.89999821642283,"Down","Asph"
"Cflar",0.0130855350544474,-2.72246602447109,0,0.7,1,1.88320851479382,"Down",NA
"Chd9",0.0130855350544474,-2.84799690655495,0,0.7,1,1.88320851479382,"Down",NA
"Vsir",0.0130855350544474,-2.84799690655495,0,0.7,1,1.88320851479382,"Down",NA
"Mbnl1",0.0133369145979565,-2.84799690655495,0,0.7,1,1.87494462979478,"Down",NA
"Hpgds",0.0133369145979565,-3.35049724708413,0,0.7,1,1.87494462979478,"Down","Hpgds"
"Itga9",0.0133369145979565,-3.0703893278914,0,0.7,1,1.87494462979478,"Down",NA
"Cst3",0.0135904489118148,-2.96347412397489,0,0.7,1,1.8667661976675,"Down",NA
"Mir99ahg",0.013931817969833,-3.43295940727611,0,0.7,1,1.85599220857595,"Down","Mir99ahg"
"Ophn1",0.0140177495805838,-3.51096191927738,0,0.7,1,1.85332170271615,"Down","Ophn1"
"Grm7",0.0169968087931126,2.73696559416621,0.667,0.1,1,1.76963261118876,"Up",NA
"Phf21a",0.0179263390766387,-2.0703893278914,0.167,0.8,1,1.74650839315674,"Down",NA
"Mapk10",0.0202405705770775,2.73696559416621,0.5,0,1,1.69377724899708,"Up",NA
"Clk1",0.0203150658683849,2.54432051622381,0.667,0.1,1,1.69218176520418,"Up",NA
"Nop56",0.0208452688747026,3.05889368905357,0.5,0,1,1.68099249871247,"Up",NA
"Castor2",0.0208452688747026,3.05889368905357,0.5,0,1,1.68099249871247,"Up",NA
"Ptprz1",0.0208452688747026,3.32192809488736,0.5,0,1,1.68099249871247,"Up","Ptprz1"
"Knop1",0.0208452688747026,3.32192809488736,0.5,0,1,1.68099249871247,"Up","Knop1"
"Mobp",0.0208452688747026,3.05889368905357,0.5,0,1,1.68099249871247,"Up",NA
"Rps6kb2",0.0208452688747026,3.32192809488736,0.5,0,1,1.68099249871247,"Up",NA
"Cdr1os",0.0208452688747026,3.05889368905357,0.5,0,1,1.68099249871247,"Up",NA
"Ftx",0.0208452688747026,3.05889368905357,0.5,0,1,1.68099249871247,"Up",NA
"Ptprd",0.0210483473017216,3.90689059560852,0.5,0,1,1.67678199892193,"Up","Ptprd"
"Magi2",0.0210483473017216,3.73696559416621,0.5,0,1,1.67678199892193,"Up","Magi2"
"Nrxn1",0.0210483473017216,4.54432051622381,0.5,0,1,1.67678199892193,"Up","Nrxn1"
"Gria2",0.0234105961611167,2.61143471208235,0.667,0.1,1,1.63058752666277,"Up",NA
"Ubr5",0.0234105961611167,2.32192809488736,0.667,0.1,1,1.63058752666277,"Up",NA
"Gm42418",0.025740406451427,1.06788247228082,1,1,1,1.589384599692,"Up",NA
"Mgat4a",0.0260982915413071,-2.43295940727611,0,0.6,1,1.5833879217218,"Down",NA
"Pip4k2a",0.0260982915413071,-2.26303440583379,0,0.6,1,1.5833879217218,"Down",NA
"Laptm5",0.0260982915413071,-2.26303440583379,0,0.6,1,1.5833879217218,"Down",NA
"Lpcat2",0.0260982915413071,-3.16992500144231,0,0.6,1,1.5833879217218,"Down",NA
"Slc38a9",0.0260982915413071,-2.26303440583379,0,0.6,1,1.5833879217218,"Down",NA
"Bin2",0.0260982915413071,-2.43295940727611,0,0.6,1,1.5833879217218,"Down",NA
"Anks1",0.0260982915413071,-2.26303440583379,0,0.6,1,1.5833879217218,"Down",NA
"Pnisr",0.0265117377411139,1.09953567355091,1,0.8,1,1.57656180502275,"Up",NA
"Foxn3",0.0268065759508661,-1.92599941855622,0.167,0.8,1,1.57175865564084,"Down",NA
"Mgat5",0.0274686403856814,-2.43295940727611,0,0.6,1,1.56116283630602,"Down",NA
"Kif21b",0.0274686403856814,-2.43295940727611,0,0.6,1,1.56116283630602,"Down",NA
"Snd1",0.0274686403856814,-2.43295940727611,0,0.6,1,1.56116283630602,"Down",NA
