"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",0.000121035247747262,3.1987798641145,1,0.8,0.188088774999245,3.91708813651872,"Up","Cmss1"
"Ppm1h",0.000121942499803672,-4.59693514238723,0,0.9,0.189498644694906,3.91384490624855,"Down","Ppm1h"
"Cep112",0.000139813911456117,4.11042398969365,0.909,0,0.217270818402805,3.85444961422664,"Up","Cep112"
"Snhg11",0.000170529182904171,1.98279070996778,1,0.7,0.265002350233082,3.76820128887249,"Up","Snhg11"
"Srgap2",0.00026251390681293,-2.76199438865773,0.364,1,0.407946611187293,3.58084768466893,"Down","Srgap2"
"Csf1r",0.000380358725054547,-3.01197264166608,0.182,0.9,0.591077458734766,3.41980661700701,"Down","Csf1r"
"Dock4",0.000875391943177697,-2.72246602447109,0.182,0.9,1,3.05779745480946,"Down","Dock4"
"Ly86",0.00101370671047772,-3.59693514238723,0.091,0.8,1,2.99408767857815,"Down","Ly86"
"Ssh2",0.0012648950668127,-2.04439411935845,0.364,1,1,2.89794550120313,"Down",NA
"Gphn",0.00128470904662383,2.42321143072454,1,0.4,1,2.89119521766596,"Up","Gphn"
"Asph",0.00129201063939467,-3.59693514238723,0,0.7,1,2.88873391001634,"Down","Asph"
"Magi2",0.00138387906001496,4.25481389902883,0.727,0,1,2.85890186209252,"Up","Magi2"
"Sgcd",0.00141706799911623,4.61738397841353,0.727,0,1,2.84860930929214,"Up","Sgcd"
"Epb41l2",0.0014171291708701,-3.13750352374994,0.091,0.8,1,2.84859056214537,"Down",NA
"Ptprd",0.00142376730711172,4.38605843230708,0.727,0,1,2.84656098365916,"Up","Ptprd"
"Sirpa",0.00155247197209958,-2.72246602447109,0.182,0.9,1,2.8089762317133,"Down",NA
"Ahi1",0.00214900506472816,2.59946207041627,0.818,0.2,1,2.66776256097161,"Up",NA
"Ptprj",0.00252415859138667,-2.94485844580754,0.182,0.8,1,2.59788336210605,"Down",NA
"Ubash3b",0.00254348044793277,-3.41052201815635,0.182,0.8,1,2.59457159649834,"Down",NA
"Mertk",0.00274379612168876,-2.59693514238723,0.364,0.9,1,2.56164816210344,"Down",NA
"Nkain2",0.00300227143210064,3.44745897697122,0.818,0.2,1,2.52255004622513,"Up",NA
"Tenm2",0.00348487955718155,3.44745897697122,0.636,0,1,2.45781222719448,"Up",NA
"Lars2",0.00351196950986246,1.9020248404367,0.909,0.3,1,2.45444926319759,"Up",NA
"March1",0.00363113468351831,2.66985139830767,0.818,0.2,1,2.43995764223995,"Up",NA
"Nrxn1",0.00364030670248165,4.11042398969365,0.636,0,1,2.43886202470697,"Up","Nrxn1"
"Camk2a",0.00367187120811747,3.66985139830767,0.636,0,1,2.43511256020087,"Up",NA
"Il10ra",0.00374810761227929,-3.30742852519225,0,0.6,1,2.42618794853448,"Down",NA
"Slc38a9",0.00374810761227929,-3.13750352374994,0,0.6,1,2.42618794853448,"Down",NA
"Ttc3",0.00387561230711065,2.56293619439116,0.818,0.2,1,2.4116596736501,"Up",NA
"Canx",0.00391257130931319,-3.30742852519225,0,0.6,1,2.40753773405661,"Down",NA
"Mlxip",0.00393109911911821,-3.4594316186373,0,0.6,1,2.40548600569825,"Down",NA
"Dock2",0.00402450076328518,-3.94485844580754,0,0.6,1,2.39528798590426,"Down","Dock2"
"Ikzf1",0.00408115197217417,-3.94485844580754,0,0.6,1,2.38921723285531,"Down","Ikzf1"
"Gm42418",0.00434554752326046,1.08408359751487,1,1,1,2.36195549623488,"Up",NA
"Unc93b1",0.00441672695417071,-1.98550043030489,0.273,0.8,1,2.35489944836722,"Down",NA
"Mapt",0.0049400540367686,2.56293619439116,0.727,0.1,1,2.30626830052128,"Up",NA
"Lair1",0.00502777358043532,-2.83794324189103,0.091,0.7,1,2.29862428846055,"Down",NA
"Fgd2",0.00504673774855952,-2.94485844580754,0.091,0.7,1,2.29698926259595,"Down",NA
"Maml2",0.00539050043926927,-2.4594316186373,0.091,0.7,1,2.26837091423361,"Down",NA
"Pag1",0.00541079772755903,-2.59693514238723,0.091,0.7,1,2.2667387010419,"Down",NA
"Akap8l",0.0055283664060043,2.29545588352617,0.818,0.3,1,2.25740318075101,"Up",NA
"C1qc",0.0057872414363662,-2.13750352374994,0.091,0.7,1,2.23752839904403,"Down",NA
"Herc2",0.00602536940406457,-1.64000386427912,0.364,0.9,1,2.22001632215909,"Down",NA
"4933406I18Rik",0.00615522631639103,-1.87446911791614,0.545,1,1,2.21075597422692,"Down",NA
"Gria2",0.0061848912329669,2.97797369367,0.727,0.1,1,2.20866793343787,"Up",NA
