"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Tmeff2",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Tmeff2"
"Sdf4",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Sdf4"
"Mlf2",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Mlf2"
"Mark4",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Mark4"
"Map6",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Map6"
"Ptges3",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Ptges3"
"Vps41",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Vps41"
"Lpin2",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Lpin2"
"Slc1a2",0.000882564097526903,4.62935662007961,1,0,1,3.05425374351368,"Up","Slc1a2"
"Akap6",0.000882564097526903,3.75488750216347,1,0,1,3.05425374351368,"Up",NA
"Sorcs3",0.000882564097526903,3.75488750216347,1,0,1,3.05425374351368,"Up",NA
"Tmem91",0.000927172209618012,3.97727992349992,1,0,1,3.03283959407468,"Up","Tmem91"
"Parp8",0.000927172209618012,3.97727992349992,1,0,1,3.03283959407468,"Up","Parp8"
"Pacsin1",0.000950034946227488,4.16992500144231,1,0,1,3.02226041926418,"Up","Pacsin1"
"Ndrg2",0.00254510843643061,3.16992500144231,1,0.111,1,2.59429370946074,"Up",NA
"Fkbp5",0.00254510843643061,3.16992500144231,1,0.111,1,2.59429370946074,"Up",NA
"Asic2",0.00327871222096044,3.49185309632967,1,0.222,1,2.48429670054126,"Up",NA
"Grin1",0.00339875370831563,2.97727992349992,1,0.111,1,2.46868030555372,"Up",NA
"Mapk10",0.00339875370831563,2.97727992349992,1,0.111,1,2.46868030555372,"Up",NA
"Kidins220",0.00339875370831563,2.97727992349992,1,0.111,1,2.46868030555372,"Up",NA
"Ctsb",0.00339875370831563,2.97727992349992,1,0.111,1,2.46868030555372,"Up",NA
"Slc8a1",0.00339875370831563,3.62935662007961,1,0.111,1,2.46868030555372,"Up",NA
"Cpe",0.00345728604132887,3.16992500144231,1,0.111,1,2.46126468726939,"Up",NA
"Adgrl1",0.00345728604132887,3.16992500144231,1,0.111,1,2.46126468726939,"Up",NA
"Scd2",0.00345728604132887,3.75488750216347,1,0.111,1,2.46126468726939,"Up",NA
"Frmd5",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Pou2f2",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Capns1",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Arrb1",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Myo5a",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Slc25a3",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Kif5a",0.00414932574349106,2.97727992349992,1,0.111,1,2.38202246947386,"Up",NA
"Dlg4",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Galnt16",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Kifc2",0.00414932574349106,2.75488750216347,1,0.111,1,2.38202246947386,"Up",NA
"Tef",0.00414932574349106,2.97727992349992,1,0.111,1,2.38202246947386,"Up",NA
"Gpc5",0.00428592534157243,3.16992500144231,1,0.222,1,2.3679553983958,"Up",NA
"Dis3l2",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Tmem214",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Adcyap1r1",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Ncald",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Flywch1",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Syt7",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up",NA
"Uchl1",0.00504008264624765,2.58496250072116,1,0.222,1,2.29756234202372,"Up",NA
"Nlgn1",0.00526197544883959,2.8703647195834,1,0.222,1,2.27885118256319,"Up",NA
"Trim2",0.00526197544883959,2.75488750216347,1,0.222,1,2.27885118256319,"Up",NA
"Apoe",0.00527261343285281,4.24521312874655,1,0.444,1,2.27797406825379,"Up","Apoe"
"Ctsd",0.00602074842171975,2.75488750216347,1,0.111,1,2.22034951950296,"Up",NA
"Ptprg",0.00610554353864126,-5.05889368905357,0,1,1,2.2142756674562,"Down","Ptprg"
"Actr1b",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Lonrf2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Orc2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Sned1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Abl2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Astn1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Manbal",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Srsf6",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Rmdn1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ptbp3",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Cc2d1b",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Mycbp",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Adgrb2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Hadha",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Cux2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ldhb",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Trim28",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Apba2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Hacd3",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Nhsl1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Agpat3",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ptprr",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Mbd6",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ascc2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Mpp5",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ftl1-ps1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Gfm2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Hexb",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ipo4",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Atp8a2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ece2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Rhot2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Rgl2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ndufv2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Napg",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Atp5a1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ndufv1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Tmem134",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Mid1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Kcnd2",0.00648530797067137,2.39231742277876,1,0.444,1,2.18806939555717,"Up",NA
"Cox5b",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Gm3764",0.00653216165803566,3.75488750216347,0.75,0,1,2.18494307587596,"Up",NA
"Adam15",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Trappc3",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Dcun1d4",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Brsk1",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Ap2s1",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Hk1",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Uqcr10",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Rundc3a",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Lrrc45",0.00653216165803566,3.75488750216347,0.75,0,1,2.18494307587596,"Up",NA
"Ogdhl",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Txndc11",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Tomm6",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Lonp1",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Lims2",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Ntrk2",0.00687647740582606,2.30742852519225,1,0.333,1,2.16263397964081,"Up",NA
"Malat1",0.00692751797722651,-1.37302086480528,1,1,1,2.15942233853019,"Down","Malat1"
"Bcan",0.00720065104490454,2.58496250072116,1,0.111,1,2.1426282351761,"Up",NA
"Rps19",0.00808572444341289,2.75488750216347,1,0.111,1,2.09228106324281,"Up",NA
"Mapt",0.00898012172735995,2.49185309632967,1,0.222,1,2.04671777634356,"Up",NA
"Lrrtm4",0.00909301324523719,2.36257007938471,1,0.222,1,2.041292176302,"Up",NA
"Magi2",0.00919314922037441,2.68449817427207,1,0.333,1,2.03653569049145,"Up",NA
"Spock2",0.00983106294850737,-3.85244281158614,0.25,1,1,2.00739952309216,"Down","Spock2"
"Dlgap1",0.00984536991285502,1.8703647195834,1,0.444,1,2.00676796179162,"Up",NA
"Cmip",0.0100497282796715,2.39231742277876,1,0.111,1,1.99784568035639,"Up",NA
"Ctnnd2",0.0100497282796715,2.39231742277876,1,0.111,1,1.99784568035639,"Up",NA
"Mt3",0.0106006568055907,2.49185309632967,1,0.111,1,1.97466722547044,"Up",NA
"Anks1b",0.0106006568055907,2.28540221886225,1,0.111,1,1.97466722547044,"Up",NA
"Gm47283",0.0112433693687875,2.43295940727611,1,0.333,1,1.94910352159683,"Up",NA
"Farp1",0.0114516257973404,-2.28950661719499,0.25,1,1,1.9411328517791,"Down","Farp1"
"Tsc1",0.0118915475935395,2.16992500144231,1,0.222,1,1.92476162161365,"Up",NA
"Gaa",0.0118915475935395,2.16992500144231,1,0.222,1,1.92476162161365,"Up",NA
"Arhgap5",0.0118915475935395,2.16992500144231,1,0.222,1,1.92476162161365,"Up",NA
"5031439G07Rik",0.0118915475935395,2.16992500144231,1,0.222,1,1.92476162161365,"Up",NA
"Kcnd3",0.0129423746507451,2.16992500144231,1,0.111,1,1.88798603254687,"Up",NA
"Ncdn",0.0129423746507451,2.16992500144231,1,0.111,1,1.88798603254687,"Up",NA
"4933406I18Rik",0.0129423746507451,2.16992500144231,1,0.111,1,1.88798603254687,"Up",NA
"Car10",0.0129423746507451,1.97727992349992,1,0.111,1,1.88798603254687,"Up",NA
"Eif1",0.0129423746507451,2.16992500144231,1,0.111,1,1.88798603254687,"Up",NA
"Grik1",0.0129423746507451,2.16992500144231,1,0.111,1,1.88798603254687,"Up",NA
"Rere",0.0132001611615991,1.62935662007961,1,0.556,1,1.87942076643309,"Up",NA
"Tjp1",0.0137461409383557,-4.25633975325979,0,0.889,1,1.86181920760895,"Down","Tjp1"
"Ptprs",0.0140078665288238,2.16992500144231,1,0.333,1,1.85362800499368,"Up",NA
"Psap",0.0141565254309195,2.54843662469604,1,0.333,1,1.84904332654355,"Up",NA
"Ckb",0.0141565254309195,2.93545974780529,1,0.333,1,1.84904332654355,"Up",NA
"Gabrb1",0.0144559223576962,2.28540221886225,1,0.333,1,1.83995419302285,"Up",NA
"Igf1r",0.0150104050460989,-3.45456586346548,0.5,1,1,1.82360758844212,"Down",NA
"Unc80",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Srrm3",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Eno2",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Trank1",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Agap2",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Gps2",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Msl1",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Kcnma1",0.0155770512136133,1.90689059560852,1,0.111,1,1.80751475223876,"Up",NA
"Rabl6",0.0161569312611813,1.90689059560852,1,0.222,1,1.79164112270084,"Up",NA
"Prkca",0.0161569312611813,1.90689059560852,1,0.222,1,1.79164112270084,"Up",NA
"Prkn",0.0161569312611813,1.90689059560852,1,0.222,1,1.79164112270084,"Up",NA
"Firre",0.0161569312611813,1.90689059560852,1,0.222,1,1.79164112270084,"Up",NA
"Cacna2d2",0.0167457558441834,1.75488750216347,1,0.111,1,1.77609524516504,"Up",NA
"Zfp445",0.0167457558441834,1.75488750216347,1,0.111,1,1.77609524516504,"Up",NA
"Arhgap31",0.0169479643222168,-2.78427130894456,0.25,0.889,1,1.77088245891938,"Down",NA
"Cntnap2",0.0173433591624235,1.58496250072116,1,0.111,1,1.76086678203775,"Up",NA
"Peg3",0.0175413662052676,1.68449817427207,1,0.444,1,1.75593658472697,"Up",NA
"Kif1a",0.0178974358711159,2.33985000288462,1,0.222,1,1.74720918504201,"Up",NA
"Sgcz",0.0178974358711159,2.49185309632967,1,0.222,1,1.74720918504201,"Up",NA
"Nkain2",0.0182459948049163,2.25738784269265,1,0.333,1,1.73883245312653,"Up",NA
"Snrnp70",0.0193238098919217,1.94753258010586,1,0.556,1,1.71390724376343,"Up",NA
"Apod",0.0204259017779048,3.04439411935845,1,0.444,1,1.68981876081647,"Up",NA
"Eng",0.0219316315047478,-2.3536369546147,0.25,0.889,1,1.65892905974274,"Down",NA
"Srrm1",0.0220377980428469,2.0630097975258,1,0.333,1,1.65683180118208,"Up",NA
"Pclo",0.0226425254883072,1.82200169802201,1,0.222,1,1.64507513470699,"Up",NA
"Lrfn5",0.0226425254883072,2.28540221886225,1,0.222,1,1.64507513470699,"Up",NA
"Gria1",0.0230894253844121,2.43295940727611,1,0.222,1,1.63658687502931,"Up",NA
"Plxnb1",0.0231525258885112,2.75488750216347,0.75,0.111,1,1.63540162150991,"Up",NA
"Rbfox3",0.0231525258885112,2.75488750216347,0.75,0.111,1,1.63540162150991,"Up",NA
"Chka",0.0231525258885112,2.75488750216347,0.75,0.111,1,1.63540162150991,"Up",NA
"Flna",0.0231525258885112,3.16992500144231,0.75,0.111,1,1.63540162150991,"Up",NA
"Sema6d",0.0234372499738769,2.97727992349992,0.75,0.111,1,1.63009334791145,"Up",NA
"Pde4b",0.0234372499738769,2.97727992349992,0.75,0.111,1,1.63009334791145,"Up",NA
"Nav3",0.0234372499738769,2.97727992349992,0.75,0.111,1,1.63009334791145,"Up",NA
"Stab1",0.0234372499738769,2.97727992349992,0.75,0.111,1,1.63009334791145,"Up",NA
"Snhg11",0.0244620105166652,1.62449086490779,1,1,1,1.61150785145303,"Up",NA
"Rsrc2",0.0251389985749212,-2.28950661719499,0,0.778,1,1.59965202665198,"Down",NA
"Clstn1",0.0256144386652194,1.75488750216347,1,0.333,1,1.59151515715125,"Up",NA
"Maged1",0.0256144386652194,1.75488750216347,1,0.333,1,1.59151515715125,"Up",NA
"Chd4",0.0258357029898167,2.01792190799726,1,0.333,1,1.587779716799,"Up",NA
"Fto",0.026538902075312,-2.53051471669878,0,0.778,1,1.57611704803136,"Down",NA
"Dab1",0.0266246355943598,2.75488750216347,1,0.222,1,1.57471632760736,"Up",NA
"Tenm2",0.0266246355943598,1.71741279674481,1,0.222,1,1.57471632760736,"Up",NA
"Ptprb",0.0272484408923059,-3.68805599368526,0,0.778,1,1.56465834224016,"Down","Ptprb"
"Cldn5",0.0273712477233811,-3.78427130894456,0.25,0.889,1,1.56270540474449,"Down","Cldn5"
"Cst3",0.0273712477233811,1.62243720613982,1,0.667,1,1.56270540474449,"Up",NA
"Slc1a3",0.0279057064754208,1.97727992349992,1,0.222,1,1.55430697818251,"Up",NA
