"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Eif4e2",0.000757495005814607,3.49185309632967,1,0,1,3.12062022613167,"Up","Eif4e2"
"Piezo1",0.00268566317448977,3.33985000288463,1,0.111,1,2.57094845578983,"Up","Piezo1"
"Trappc9",0.00465625724712585,2.49185309632967,1,0.111,1,2.33196303395932,"Up","Trappc9"
"Tiam1",0.00504008264624765,2.58496250072116,1,0.222,1,2.29756234202372,"Up","Tiam1"
"Mfsd2a",0.00526197544883959,2.75488750216347,1,0.222,1,2.27885118256319,"Up","Mfsd2a"
"Rai14",0.00602074842171975,2.75488750216347,1,0.111,1,2.22034951950296,"Up",NA
"Inpp4a",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Setdb1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Pllp",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ahsa2",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Gm609",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Lmf1",0.0061319533040813,3.16992500144231,0.75,0,1,2.21240116103505,"Up",NA
"Ubxn4",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Adgra2",0.00653216165803566,3.75488750216347,0.75,0,1,2.18494307587596,"Up","Adgra2"
"Ube2q2",0.00653216165803566,3.75488750216347,0.75,0,1,2.18494307587596,"Up","Ube2q2"
"Rnf144b",0.00653216165803566,3.75488750216347,0.75,0,1,2.18494307587596,"Up","Rnf144b"
"Rtl8a",0.00653216165803566,3.49185309632967,0.75,0,1,2.18494307587596,"Up",NA
"Adam15",0.00666858215662159,3.97727992349992,0.75,0,1,2.17596649397116,"Up","Adam15"
"Ltbp4",0.00804997983828974,2.33985000288462,1,0.667,1,2.0942052073502,"Up",NA
"Itgb1",0.00810257062980774,2.39231742277876,1,0.222,1,2.09137717455036,"Up",NA
"Chd3",0.00810257062980774,2.39231742277876,1,0.222,1,2.09137717455036,"Up",NA
