"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",1.25479532217676e-209,1.73306610903206,0.999,0.956,2.21396086644867e-205,208.901427109002,"Up","Cmss1"
"AY036118",1.25765532040966e-128,1.27653587420927,0.958,0.797,2.21900704733081e-124,127.900438367599,"Up","AY036118"
"Gm19951",5.10970835902549e-119,1.48064749729429,0.923,0.656,9.01556942866457e-115,118.291603886887,"Up",NA
"Gphn",1.34865859451376e-108,0.88030145736946,0.997,0.971,2.37957322416008e-104,107.870097975668,"Up","Gphn"
"Lars2",3.74738730144796e-108,0.991101448797802,0.977,0.782,6.61189015467478e-104,107.426271419212,"Up","Lars2"
"Camk1d",1.35163138952744e-102,1.4856756509515,0.877,0.59,2.38481842368221e-98,101.869141730969,"Up","Camk1d"
"Pabpn1",1.38425490208051e-101,1.07864344492818,0.947,0.774,2.44237934923084e-97,100.85878392984,"Up",NA
"AC149090.1",1.81140547547315e-100,0.981143255115179,0.984,0.918,3.19604382092483e-96,99.7419843238163,"Up",NA
"Gm42418",6.86179932596105e-90,0.687236827235362,1,1,1.21069587307257e-85,89.1635619870817,"Up",NA
"Arglu1",9.11747840449937e-81,1.04479148711762,0.861,0.699,1.60868788968987e-76,80.0401252566753,"Up",NA
"Srrm2",2.9337810374999e-70,0.839482054063515,0.952,0.876,5.17636326256482e-66,69.5325723028152,"Up",NA
"Pnisr",2.399488889129e-66,0.612980788405147,0.986,0.96,4.23365819597921e-62,65.6198812567343,"Up",NA
"Atp1b1",1.72643648924603e-58,-1.70858289144971,0.214,0.52,3.0461245416257e-54,57.762849393496,"Down","Atp1b1"
"Zranb2",3.04739347010864e-58,0.805500394343602,0.86,0.732,5.37682103865969e-54,57.5160714673839,"Up",NA
"Gm47283",3.32657151743658e-54,1.13408783675157,0.741,0.518,5.8694027853651e-50,53.478003135289,"Up",NA
"Gm26917",5.43521498217466e-50,0.553368243750024,0.987,0.934,9.58989331454898e-46,49.2647832733393,"Up",NA
"Itm2c",1.59095156144491e-48,-2.31681517149371,0.08,0.327,2.8070749350134e-44,47.7983430428031,"Down","Itm2c"
"Rbm25",4.56902312203803e-47,0.67204922819864,0.921,0.836,8.06158439652391e-43,46.3401766441443,"Up",NA
"Chd5",5.8861401628508e-47,1.09108020277266,0.674,0.441,1.0385505703334e-42,46.2301694005395,"Up",NA
"Rtn1",1.43416540982304e-46,-0.796163561163532,0.613,0.838,2.53044144909178e-42,45.8434007563177,"Down","Rtn1"
"Atp6v0c",3.52205490427573e-46,-2.18920873235613,0.071,0.308,6.21431367310409e-42,45.4532038782273,"Down","Atp6v0c"
"Cdk8",2.33078199408047e-44,0.979963832160588,0.738,0.554,4.11243175035558e-40,43.6324983456109,"Up",NA
"Akap8l",7.78037454795671e-42,0.695654180468507,0.855,0.76,1.37276928524148e-37,41.1089994955302,"Up",NA
"Luc7l3",2.50954168738686e-40,0.585076483361552,0.936,0.884,4.42783535322537e-36,39.6004055856158,"Up",NA
"Pcsk1n",3.82644732931951e-39,-1.60326982129626,0.158,0.398,6.75138366785135e-35,38.4172042603153,"Down","Pcsk1n"
"EGFP",6.27766484603965e-39,0.674173153575714,0.876,0.631,1.10763118543524e-34,38.2022018742685,"Up",NA
"Kmt2a",1.8982574601812e-37,0.571596538309172,0.92,0.851,3.34928546274371e-33,36.7216448846627,"Up",NA
"Peg3",3.80689644749565e-36,0.587992400708876,0.909,0.874,6.71688809196133e-32,35.4194289363963,"Up",NA
"Itm2b",6.06753942560336e-34,-2.03236178202501,0.069,0.259,1.07055665625346e-29,33.2169873930321,"Down","Itm2b"
"Pbx1",9.95758841521946e-34,-1.02331093335158,0.402,0.637,1.75691689998132e-29,33.0018458287227,"Down",NA
"Ncam1",1.68404902405205e-32,-0.551865362587365,0.684,0.875,2.97133609803745e-28,31.7736452699828,"Down",NA
"Mycbp2",3.36633196435554e-32,0.364083806538885,0.992,0.986,5.93955611790892e-28,31.4728430591329,"Up",NA
"Cadm1",1.71143025191861e-31,-0.653818468252089,0.673,0.842,3.01964753648519e-27,30.7666407955177,"Down",NA
"Ahi1",9.1958222046897e-31,0.399737987416172,0.983,0.968,1.62251086979545e-26,30.0364094341262,"Up",NA
"B830012L14Rik",1.05980334437495e-30,-0.950860944761913,0.334,0.558,1.86991702081516e-26,29.9747747143355,"Down",NA
"Gabra1",1.45326191653642e-30,-1.70892952649243,0.091,0.278,2.56413532553685e-26,29.8376561072054,"Down",NA
"Prrc2c",3.23393340632795e-30,0.617245688965571,0.83,0.771,5.70595210212504e-26,29.4902689273987,"Up",NA
"Ubr4",7.59356957791687e-30,0.837086734947441,0.658,0.503,1.33980941632765e-25,29.1195540233713,"Up",NA
"Ctsb",2.35839957961809e-29,-2.11081718840793,0.049,0.211,4.16116021827816e-25,28.6273826112335,"Down","Ctsb"
"Syt11",1.55986523807334e-28,-0.973439056430782,0.263,0.487,2.75222622605661e-24,27.8069129201642,"Down",NA
"Srrm1",2.36171382183742e-28,0.54648133087123,0.859,0.792,4.16700786724994e-24,27.6267727287067,"Up",NA
"Tia1",2.03605618586888e-27,-0.64207620427848,0.452,0.682,3.59241753434705e-23,26.6912102416221,"Down",NA
"Pdcd7",4.21518990783322e-27,1.22798874062703,0.394,0.21,7.43728107338094e-23,26.3751828542383,"Up",NA
"5330434G04Rik",6.86679313769539e-27,-0.725005729488581,0.4,0.62,1.21157698121497e-22,26.1632460355402,"Down",NA
"Sltm",8.94472167367391e-27,0.704969459538975,0.748,0.686,1.57820669210303e-22,26.0484331685084,"Up",NA
"Prnp",9.16626839551195e-27,-1.53321774056048,0.086,0.257,1.61729639570413e-22,26.0378074304228,"Down",NA
"Srsf11",1.26046955164775e-26,0.682785574276929,0.73,0.617,2.22397247692729e-22,25.8994676408333,"Up",NA
"Csrnp3",1.67266254728255e-26,-0.800819923594754,0.323,0.542,2.95124579842534e-22,25.7765916673074,"Down",NA
"Nsg2",3.3043788343935e-26,-1.29523983035603,0.139,0.325,5.83024601540389e-22,25.4809101682962,"Down",NA
"App",5.82228890725498e-26,-0.580582840388213,0.576,0.78,1.02728465479607e-21,25.2349062482765,"Down",NA
"mt-Co3",7.11721096095426e-26,0.741586717643425,0.722,0.56,1.25576070195077e-21,25.1476901610776,"Up",NA
"Psap",1.31477156471427e-25,-0.975438611267364,0.25,0.454,2.31978294878187e-21,24.8811496972138,"Down",NA
"Chd3",2.11333320856573e-25,0.871657441600702,0.596,0.437,3.72876511319338e-21,24.6750320224779,"Up",NA
"Son",3.78646081104803e-25,0.555870134719645,0.819,0.751,6.68083145501314e-21,24.4217665336588,"Up",NA
"Chd4",4.20871663367359e-25,0.743099172035318,0.69,0.567,7.42585962845367e-21,24.3758503136377,"Up",NA
"Snap25",1.3799840301055e-24,-0.698864422959433,0.384,0.593,2.43484382271814e-20,23.8601259394518,"Down",NA
"Nop56",3.90799547689252e-24,0.821724742988772,0.602,0.449,6.89526721942917e-20,23.4080459476047,"Up",NA
"Dst",4.65257355342211e-24,0.4100554430106,0.965,0.944,8.20900077765797e-20,23.3323067522987,"Up",NA
"Ttc8",1.19968826537402e-23,-1.02455794328269,0.179,0.366,2.11672997542591e-19,22.9209315891323,"Down",NA
"Nrsn2",1.39949209040093e-23,-1.58954297353135,0.077,0.229,2.4692638443034e-19,22.8540295517208,"Down",NA
"Atrx",1.88911265524707e-23,0.467639348453815,0.883,0.811,3.33315036891793e-19,22.7237421426111,"Up",NA
"Matk",2.88550733768686e-23,0.776267203735685,0.65,0.526,5.09118914661469e-19,22.5397778169669,"Up",NA
"Baz1b",3.09495869928542e-23,0.73440750420693,0.646,0.508,5.46074512901919e-19,22.5093451420533,"Up",NA
"Abr",4.36697131162894e-23,-0.610477984457662,0.465,0.677,7.7050841822381e-19,22.3598196611224,"Down",NA
"Golga4",8.86334352253152e-23,0.678746653944789,0.671,0.534,1.56384833111546e-18,22.0524024181278,"Up",NA
"Mpped2",1.00521050107426e-22,-1.1652045947266,0.184,0.361,1.77359340809543e-18,21.9977429831368,"Down",NA
"Arl6ip1",1.35526788449969e-22,-1.52319436046993,0.077,0.225,2.39123465541126e-18,21.8679748529363,"Down",NA
"Elmod1",2.45799719872652e-22,-0.940336342211723,0.239,0.426,4.33689025743308e-18,21.609418616396,"Down",NA
"Slc4a3",2.55824526865414e-22,0.840509910113036,0.582,0.437,4.51376795201337e-18,21.5920578204059,"Up",NA
"Atxn2l",2.70963850120331e-22,-0.848808817118403,0.252,0.445,4.78088617152311e-18,21.5670886454373,"Down",NA
"Tmx4",5.56507279962695e-22,-0.933348666297216,0.22,0.404,9.81901444766178e-18,21.2545291500589,"Down",NA
"Serinc1",5.61874387541292e-22,-1.58644998846431,0.07,0.212,9.91371169377855e-18,21.2503607643155,"Down",NA
"Pgrmc1",6.85954825055603e-22,-1.47340653674065,0.078,0.224,1.21029869332811e-17,21.1637044846943,"Down",NA
"Fus",8.35261712907956e-22,-0.608938117687104,0.39,0.604,1.4737357662548e-17,21.0781774255185,"Down",NA
"Cx3cl1",1.70091107303524e-21,-1.67295898171899,0.075,0.215,3.00108749726338e-17,20.7693183915607,"Down",NA
"Slc32a1",4.86444680643776e-21,-1.6293697131713,0.056,0.188,8.58282994527879e-17,20.3129665413302,"Down",NA
