"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",6.15074607944117e-315,2.09563445483154,1,0.956,1.0852376382566e-310,314.211072201536,"Up","Cmss1"
"Gm19951",5.70501659245931e-195,1.60553563444441,0.969,0.656,1.00659312757352e-190,194.243743088143,"Up",NA
"AC149090.1",6.2431893986028e-195,1.32031051421141,0.993,0.918,1.10154833748948e-190,194.204593489749,"Up","AC149090.1"
"Pabpn1",6.50903689745699e-172,1.3219963838527,0.968,0.774,1.14845447018731e-167,171.186483266587,"Up","Pabpn1"
"Gphn",1.63629788079785e-158,1.00079628798899,0.994,0.971,2.88708398087972e-154,157.786137632076,"Up","Gphn"
"Camk1d",1.63344172997726e-145,1.57026943185807,0.9,0.59,2.88204458837188e-141,144.786896353567,"Up","Camk1d"
"Lars2",8.49025197986617e-133,0.91812923311263,0.98,0.782,1.49802005932759e-128,132.071079420258,"Up",NA
"Srrm2",3.40541280796586e-101,0.965297365728249,0.97,0.876,6.00851035837497e-97,100.467830234895,"Up",NA
"EGFP",9.94664866170569e-100,1.02769723014149,0.948,0.631,1.75498668987135e-95,99.002323222058,"Up",NA
"Akap8l",1.40726771875204e-96,0.974360836386039,0.917,0.76,2.48298316296609e-92,95.8516232744796,"Up",NA
"Tia1",3.55762368817979e-87,-1.28001598981195,0.291,0.682,6.27707123542443e-83,86.4488399918311,"Down","Tia1"
"Atp1b1",1.63465309258233e-83,-1.88396156679144,0.177,0.52,2.88418191655226e-79,82.7865743995558,"Down","Atp1b1"
"Gm47283",5.92950578231316e-83,1.32949304038762,0.762,0.518,1.04620200023133e-78,82.2269815030875,"Up",NA
"AY036118",2.69247971958864e-81,0.918063786904218,0.948,0.797,4.7506112172422e-77,80.5698475592292,"Up",NA
"5330434G04Rik",6.60447968256907e-80,-1.37367066912834,0.258,0.62,1.16529439519249e-75,79.1801613915075,"Down","5330434G04Rik"
"Pnisr",2.38086259894362e-78,0.658297916714732,0.989,0.96,4.20079396957612e-74,77.6232656672757,"Up",NA
"Gm42418",8.28920441027154e-77,0.550360628206684,1,1,1.46254722614831e-72,76.0814871506089,"Up",NA
"Arglu1",1.17912850792973e-76,1.01428297747968,0.84,0.699,2.08045433939121e-72,75.928438860517,"Up",NA
"Itm2c",6.76323992844616e-75,-2.56512536928929,0.052,0.327,1.19330605297504e-70,74.1698452055435,"Down","Itm2c"
"Fus",1.68379331908411e-74,-1.2878012250517,0.248,0.604,2.97088493219201e-70,73.7737112179967,"Down","Fus"
"Rbm25",1.6861453665734e-71,0.821906113174596,0.936,0.836,2.97503488478211e-67,70.7731049865445,"Up",NA
"Malat1",2.72541651935914e-71,-0.438201172303398,1,1,4.80872490675726e-67,70.5645671160531,"Down",NA
"Snap25",1.82107184870131e-66,-1.26519826118646,0.258,0.593,3.21309916984859e-62,65.7396729191809,"Down",NA
"Chd5",1.88454110775706e-64,1.29808346184762,0.653,0.441,3.32508433052655e-60,63.7247943847852,"Up",NA
"B830012L14Rik",7.66632282464677e-64,-1.27833068007662,0.235,0.558,1.35264599918068e-59,63.1154128967943,"Down",NA
"Snap91",1.12464330516211e-58,-1.14443620223386,0.249,0.564,1.98432064762803e-54,57.9489851976976,"Down",NA
"Elavl4",1.17065402974072e-57,-1.82983270766699,0.114,0.374,2.06550197007452e-53,56.9315714355638,"Down",NA
"4632427E13Rik",1.39359504501684e-57,-1.83938107648836,0.09,0.344,2.45885909742772e-53,56.8558634064851,"Down",NA
"Strn3",1.70847898894638e-56,-1.20511923803511,0.218,0.518,3.014440328097e-52,55.7673903578314,"Down",NA
"Celf1",3.15519224709617e-56,-1.49617240756951,0.148,0.42,5.56702120077648e-52,55.5009741738812,"Down",NA
"Luc7l2",2.11968190958732e-55,-0.920640691140049,0.398,0.704,3.73996676127587e-51,54.6737293066542,"Down",NA
"Rsrp1",2.66492336394917e-53,-0.925757644432507,0.323,0.635,4.70199078335192e-49,52.5743152756027,"Down",NA
"Chd3",8.23469305739786e-52,1.23948678570477,0.626,0.437,1.45292924304728e-47,51.084352584225,"Up",NA
"Mbd5",2.042192329484e-51,-0.892028311477967,0.34,0.649,3.60324414614157e-47,50.6899033593597,"Down",NA
"Pbx1",3.61035893519322e-51,-1.17563305262289,0.355,0.637,6.37011730525492e-47,50.4424496191955,"Down",NA
"Gm26917",1.83782070231961e-50,0.5438696956006,0.996,0.934,3.24265084717272e-46,49.7356968606275,"Up",NA
"Polb",2.31611647255718e-49,-1.26378268319571,0.181,0.447,4.08655590417989e-45,48.6352396046523,"Down",NA
"Itm2b",5.14111810726502e-49,-2.14393564302885,0.054,0.259,9.07098878845839e-45,48.2889424189409,"Down",NA
"Pacsin1",1.52064014746862e-48,0.73813911019622,0.867,0.774,2.68301747619363e-44,47.81797354759,"Up",NA
"Gabra1",2.07215492896909e-48,-2.10250267149606,0.068,0.278,3.65611015667306e-44,47.6835777767835,"Down",NA
"Elmod1",3.43671469943861e-48,-1.34923367687028,0.169,0.426,6.06373941568948e-44,47.4638565195364,"Down",NA
"Atp6v0c",1.81070161438397e-47,-1.78578117285253,0.087,0.308,3.19480192841908e-43,46.7421531112007,"Down",NA
"Unc79",2.04756430367171e-47,-0.790714788113769,0.395,0.706,3.61272245739837e-43,46.6887624503533,"Down",NA
"Syt11",2.94450205958826e-47,-1.13459730513128,0.215,0.487,5.19527943393752e-43,46.5309881375686,"Down",NA
"Prpf4b",3.58117587771213e-47,0.708066461555164,0.853,0.737,6.31862671863527e-43,46.4459743495147,"Up",NA
"Csrnp3",5.73142656611669e-47,-0.98692369829593,0.255,0.542,1.01125290332563e-42,46.2417372676168,"Down",NA
"Rbfox3",6.80710225298803e-47,0.753803075060899,0.861,0.72,1.20104512151721e-42,46.1670377255854,"Up",NA
"Ogt",1.91154909356183e-46,-0.903867026540343,0.292,0.586,3.3727372206805e-42,45.7186145436877,"Down",NA
"Cadm1",2.16322003766636e-46,-0.801249720043544,0.74,0.842,3.81678543445852e-42,45.6648993028984,"Down",NA
"Arl6ip1",3.35442764477839e-46,-2.39890232530707,0.04,0.225,5.918552136447e-42,45.4743815714472,"Down","Arl6ip1"
"Ubr3",6.68599201078178e-46,-0.859050122516572,0.309,0.604,1.17967643038234e-41,45.1748341466898,"Down",NA
"Cdk8",1.06286690610052e-45,1.04087914192843,0.687,0.554,1.87532236912375e-41,44.9735211151239,"Up",NA
