"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Mllt6",1.02765634883357e-05,3.83007499855769,0.667,0.031,0.0612688715174573,4.9881520903569,"Up","Mllt6"
"mt-Atp6",2.02658488813317e-05,3.11958161575267,0.889,0.156,0.1208249910305,4.69323520012575,"Up",NA
"Ddx46",9.05115066290641e-05,2.07108309806148,0.889,0.188,0.53962960252248,4.04329620590147,"Up","Ddx46"
"Ttbk1",0.000100076965468471,2.41503749927884,0.889,0.188,0.596658868123021,3.99966587178265,"Up","Ttbk1"
"Trmt13",0.000114513448021607,3.41503749927884,0.556,0.031,0.682729177104818,3.94114350844527,"Up","Trmt13"
"Gpr158",0.000196095249078036,2.3275746580285,0.889,0.375,1,3.70753292812817,"Up","Gpr158"
"Stat5b",0.000235231726419403,2.24511249783653,0.778,0.125,1,3.62850410402594,"Up",NA
"Xpo1",0.00065884802263132,2.83007499855769,0.556,0.062,1,3.18121475315182,"Up",NA
"Tsc2",0.00065884802263132,2.83007499855769,0.556,0.062,1,3.18121475315182,"Up",NA
"Gm19951",0.000759137655924319,2.13673633679174,0.889,0.656,1,3.11967946549095,"Up",NA
"Pkd1",0.000842236550740565,2,0.778,0.156,1,3.07456591532552,"Up",NA
"Ncstn",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Ncstn"
"Pla2g4e",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Pla2g4e"
"Smyd5",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Smyd5"
"Grip2",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Grip2"
"Galns",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Galns"
"Fdx2",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Fdx2"
"Dis3l",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Dis3l"
"Prkar1a",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Prkar1a"
"Dgcr8",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Dgcr8"
"Ube2i",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Ube2i"
"Slc3a2",0.000913397585772916,3.83007499855769,0.333,0,1,3.03934014062357,"Up","Slc3a2"
