"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",8.85225436089582e-08,1.66965966529644,1,1,0.000527771404996609,7.0529461155371,"Up","Cmss1"
"Gm19951",3.28757331701663e-06,1.99492901045258,0.9,0.656,0.0196005121160531,5.48312455308144,"Up",NA
"AC149090.1",4.38851310889435e-06,1.48702361210457,1,0.938,0.0261643151552281,5.35768260002769,"Up","AC149090.1"
"Pdgfra",6.95428913288004e-05,-2.39231742277876,0.233,0.719,0.414614718102308,4.15774725696539,"Down","Pdgfra"
"Malat1",9.99760903653175e-05,-0.52476771880241,1,1,0.596057450758023,4.00010385063972,"Down","Malat1"
"Gpm6b",0.000142950149604952,-3.02236781302845,0.067,0.5,0.852268791944724,3.84481538579343,"Down","Gpm6b"
"Snhg11",0.000195135329213726,1.00706957332479,0.967,0.875,1,3.70966409455454,"Up","Snhg11"
"Gphn",0.000205250665634995,1.09310940439148,1,0.938,1,3.68771542577424,"Up","Gphn"
"Nktr",0.000257623719561263,1.73053932500677,0.8,0.438,1,3.58901415373329,"Up","Nktr"
"Macf1",0.000324668315089739,1.122255750051,0.967,0.75,1,3.48856009281263,"Up",NA
"Pabpn1",0.000329432212454183,1.13375138888883,0.9,0.562,1,3.48223393702082,"Up",NA
"Serpine2",0.000453834284714827,-2.55074678538324,0.1,0.5,1,3.34310269862289,"Down","Serpine2"
"Ncan",0.000486277792700589,-3.81378119121704,0,0.344,1,3.31311556330826,"Down","Ncan"
"Dtna",0.000526286073566046,-1.71424551766612,0.2,0.656,1,3.27877812200902,"Down",NA
"Gjc3",0.000571546710134244,-1.62935662007961,0.233,0.656,1,3.24294827073749,"Down",NA
"Ppfibp1",0.000679087902078252,-1.9393120733009,0.267,0.656,1,3.16807400640184,"Down",NA
"Cspg5",0.000885702223007446,-1.92679015304622,0.433,0.719,1,3.05271226529324,"Down",NA
"Ampd3",0.000964767923617557,-3.49185309632967,0,0.312,1,3.01557714428713,"Down","Ampd3"
"C130073E24Rik",0.00118610275511456,2.15200309344505,0.5,0.125,1,2.92587768530047,"Up",NA
"Pcsk2",0.00121331827074123,-2.29920801838728,0.067,0.438,1,2.91602526253317,"Down",NA
"Enpp2",0.0015645022805469,-1.81378119121704,0.167,0.562,1,2.80562379945405,"Down",NA
"Camk1d",0.00171546439853728,1.37064337992039,0.833,0.5,1,2.76561829053654,"Up",NA
"Ptprz1",0.00190296321361857,-0.763932641766476,0.867,0.969,1,2.720569607024,"Down",NA
"Hdac4",0.00192902674673939,-3.36632221424582,0,0.281,1,2.71466175064497,"Down",NA
"Ptch1",0.00192902674673939,-3.49185309632967,0,0.281,1,2.71466175064497,"Down","Ptch1"
"Ints13",0.0019474802476657,-3.49185309632967,0,0.281,1,2.71052693846839,"Down","Ints13"
"Sdf2",0.0019474802476657,-3.49185309632967,0,0.281,1,2.71052693846839,"Down","Sdf2"
"Mgat5b",0.00198344147198145,-1.37637587890974,0.3,0.688,1,2.70258061029975,"Down",NA
"Matn4",0.00198472874811522,-1.36060856305142,0.333,0.719,1,2.70229883965474,"Down",NA
"Eya1",0.00216144092263738,-2.71424551766612,0.033,0.344,1,2.66525663027755,"Down",NA
"Cux1",0.00251958356363116,-2.1548181090521,0.067,0.406,1,2.59867123340979,"Down",NA
"Gucy1a2",0.00274197498567043,1.25538083329036,0.733,0.438,1,2.56193651148482,"Up",NA
"Cntnap5a",0.00283146993104304,2.90046432644909,0.367,0.062,1,2.54798804602807,"Up",NA
"Agbl4",0.00285060646905756,1.90046432644909,0.533,0.188,1,2.54506273362471,"Up",NA
"Epn2",0.0028861532724956,-1.10482997322043,0.7,0.844,1,2.53968060892114,"Down",NA
"Wasf3",0.00305043014337816,-1.90689059560852,0.1,0.438,1,2.51563891615357,"Down",NA
"Kif1a",0.00340449248570979,1.67807190511264,0.533,0.188,1,2.46794762004589,"Up",NA
"Mbd5",0.00340677681978367,-1.79997539169201,0.1,0.438,1,2.46765631642073,"Down",NA
"Prkca",0.00363175438091678,-1.055753981523,0.333,0.781,1,2.43988353091625,"Down",NA
"Sfpq",0.00367308809748729,1.09310940439148,0.6,0.188,1,2.43496865515763,"Up",NA
"Ufl1",0.00374856367097817,-3.07681559705083,0,0.25,1,2.42613510807527,"Down",NA
"Frmd6",0.00378488920342445,-3.22881869049588,0,0.25,1,2.42194682925391,"Down",NA
"Cpsf7",0.00378488920342445,-3.22881869049588,0,0.25,1,2.42194682925391,"Down",NA
"Prrx1",0.00381096128197916,-3.36632221424582,0,0.25,1,2.41896546348399,"Down",NA
"Cd9",0.00381096128197916,-3.36632221424582,0,0.25,1,2.41896546348399,"Down",NA
"Gatm",0.00383058386193042,-3.60733031374961,0,0.25,1,2.41673502532928,"Down","Gatm"
"Lonp2",0.00383058386193042,-3.60733031374961,0,0.25,1,2.41673502532928,"Down","Lonp2"
"Slc22a17",0.0039548737932953,-2.12928301694497,0.067,0.375,1,2.40286737101586,"Down",NA
"Psd",0.00417190204982017,3.09310940439148,0.233,0,1,2.37966589672728,"Up","Psd"
"Wdr60",0.00422904643771519,3.55254102302878,0.233,0,1,2.37375754598747,"Up","Wdr60"
"Gpt2",0.00440338991821617,-2.60733031374961,0.033,0.312,1,2.35621285625476,"Down",NA
"Jam3",0.00440338991821617,-2.49185309632967,0.033,0.312,1,2.35621285625476,"Down",NA
"Ptpre",0.00443674587047102,-1.44294349584873,0.2,0.562,1,2.35293544624691,"Down",NA
"Hap1",0.00451727024292241,2.16349873228288,0.433,0.125,1,2.34512392726033,"Up",NA
"Akap8l",0.00472297006211,1.19744606420622,0.7,0.344,1,2.32578480731376,"Up",NA
"Fip1l1",0.00494820937903531,-2.07681559705083,0.1,0.406,1,2.3055519318732,"Down",NA
"Wdr33",0.00495826788337529,-1.3474631869945,0.133,0.5,1,2.3046700130404,"Down",NA
"Pcgf5",0.00497982693534124,1.94110631094643,0.433,0.125,1,2.3027857500781,"Up",NA
"Meg3",0.00553234796527985,0.712629127149007,1,0.969,1,2.25709051210423,"Up",NA
"1700025G04Rik",0.00565855222821759,-1.62309762960793,0.133,0.469,1,2.24729467123665,"Down",NA
"Sh3d19",0.00600955536448124,-1.20645087746743,0.333,0.656,1,2.2211576594275,"Down",NA
"P2rx7",0.00617388371510699,-2.39231742277876,0.1,0.406,1,2.20944155469891,"Down",NA
"Sulf2",0.00618426443984637,-1.4374053123073,0.367,0.656,1,2.20871194821155,"Down",NA
"Brinp3",0.00625076854872265,-0.872125177447842,0.733,0.844,1,2.20406658170406,"Down",NA
"Spock2",0.00662608795021526,2.50814690367033,0.333,0.062,1,2.17874280388423,"Up",NA
"Foxp1",0.00667504296161667,-1.83289001416474,0.1,0.406,1,2.17554593476743,"Down",NA
"Syn2",0.00671631718677059,-2.32192809488736,0.067,0.344,1,2.17286880193075,"Down",NA
"Tia1",0.00680071915672225,-0.977279923499917,0.167,0.531,1,2.16744515945821,"Down",NA
"Kctd16",0.00697951627097168,2.20858662181142,0.333,0.062,1,2.15617467596245,"Up",NA
"Cdc123",0.00725285553902429,-2.90689059560852,0,0.219,1,2.13949097264571,"Down",NA
"Rassf8",0.00725285553902429,-2.90689059560852,0,0.219,1,2.13949097264571,"Down",NA
"Mafg",0.00725285553902429,-2.90689059560852,0,0.219,1,2.13949097264571,"Down",NA
"Farsb",0.00730421083305351,-3.07681559705083,0,0.219,1,2.13642669956052,"Down",NA
"Sec62",0.00730421083305351,-3.07681559705083,0,0.219,1,2.13642669956052,"Down",NA
"Atp8b2",0.00730421083305351,-3.07681559705083,0,0.219,1,2.13642669956052,"Down",NA
"Lims2",0.00730421083305351,-3.07681559705083,0,0.219,1,2.13642669956052,"Down",NA
"Vangl2",0.0073385530534311,-3.22881869049588,0,0.219,1,2.13438956172664,"Down",NA
"Cdh19",0.00734100929241009,-3.36632221424582,0,0.219,1,2.13424422618875,"Down",NA
"Fancm",0.00735575574806901,-3.36632221424582,0,0.219,1,2.1333727001826,"Down",NA
"Kdm3b",0.00743041143265264,-2.22881869049588,0.067,0.344,1,2.12898713805858,"Down",NA
"Pid1",0.00769786148516657,-1.62309762960793,0.333,0.594,1,2.1136299078386,"Down",NA
"Abca1",0.00778098532147122,-2.12928301694497,0.067,0.344,1,2.10896540396371,"Down",NA
"Psme4",0.00778098532147122,-2.02236781302845,0.067,0.344,1,2.10896540396371,"Down",NA
"Gpr158",0.00789852322631013,1.5906090638623,0.633,0.375,1,2.10245410043327,"Up",NA
"Cmip",0.00813993418066806,1.3275746580285,0.6,0.312,1,2.0893791067924,"Up",NA
"Setd2",0.00832697471710077,-2.07681559705083,0.067,0.344,1,2.0795127539727,"Down",NA
"Unc13b",0.00840321740190657,-2.49185309632967,0.033,0.281,1,2.07555440056161,"Down",NA
"Tesk2",0.00840321740190657,-2.49185309632967,0.033,0.281,1,2.07555440056161,"Down",NA
"Ercc6l2",0.00840321740190657,-2.49185309632967,0.033,0.281,1,2.07555440056161,"Down",NA
"Gfra1",0.00843493715527973,-1.58496250072116,0.133,0.438,1,2.07391814878522,"Down",NA
"Gpr37l1",0.0086081357964734,-2.49185309632967,0.033,0.281,1,2.06509089047022,"Down",NA
"Scg3",0.0086081357964734,-2.36632221424582,0.033,0.281,1,2.06509089047022,"Down",NA
"Rab8b",0.00862440428139628,2.90046432644909,0.2,0,1,2.06427089349961,"Up",NA
"Osbp2",0.00862440428139628,2.90046432644909,0.2,0,1,2.06427089349961,"Up",NA
"Gnaq",0.0086438404134024,-1.64385618977472,0.133,0.438,1,2.06329325986128,"Down",NA
"Rmst",0.00870447206626261,3.41503749927884,0.2,0,1,2.06025756408276,"Up","Rmst"
"Ncald",0.00879977509623861,-1.03617361255349,0.4,0.688,1,2.05552842736241,"Down",NA
"Shank1",0.00902669015514021,2,0.367,0.094,1,2.04447146462149,"Up",NA
"Srrt",0.00903159894288383,2.09310940439148,0.367,0.094,1,2.04423535593248,"Up",NA
"Pkd1",0.00947551366494758,1.48542682717024,0.467,0.156,1,2.02339723773925,"Up",NA
"Gm47283",0.0098353457960751,1.11958161575267,0.733,0.5,1,2.00721036633059,"Up",NA
"Snx25",0.010008383844797,-1.62309762960793,0.167,0.469,1,1.99963604679181,"Down",NA
"Col27a1",0.0100198151392691,-1.25481389902883,0.267,0.594,1,1.99914029091747,"Down",NA
"Etv5",0.0102737376016454,-1.90689059560852,0.1,0.375,1,1.98827153065108,"Down",NA
"Ubxn4",0.0103425191881712,-1.71424551766612,0.067,0.344,1,1.98537366469794,"Down",NA
"Arglu1",0.0107985272633315,0.961864871113229,0.7,0.375,1,1.96663547090396,"Up",NA
"Zeb2",0.0124105028922481,-1.11334147307594,0.2,0.531,1,1.90621061987893,"Down",NA
"Map3k3",0.0127114641204643,-1.22881869049588,0.1,0.406,1,1.89580442404728,"Down",NA
"Chrm3",0.0127943129450549,2.50814690367033,0.3,0.062,1,1.89298303077585,"Up",NA
