"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Cmss1",5.68277571311053e-10,1.41856487277417,1,0.984,4.92355687783896e-06,9.24543948428268,"Up","Cmss1"
"Snhg11",2.08196243619017e-08,1.19111922371144,1,0.794,0.000180381225471516,7.68152711051352,"Up","Snhg11"
"Pde4b",2.46095630110878e-08,-1.12586982136438,0.884,0.992,0.000213217253928064,7.60889609794117,"Down","Pde4b"
"Podxl2",6.16507612063979e-08,3.053515509327,0.349,0.04,0.000534142195092231,7.21006155676983,"Up","Podxl2"
"Gjc3",9.05637811357666e-08,-2.69691234464577,0.14,0.603,0.000784644599760282,7.04304545351316,"Down","Gjc3"
"Trf",1.82814407753775e-07,-2.06789466384668,0.302,0.722,0.00158390402877871,6.73798958014821,"Down","Trf"
"Sox2ot",3.02048856891595e-07,-1.40642436897414,0.512,0.825,0.00261695129610878,6.51992280352535,"Down","Sox2ot"
"Meg3",5.01312909852346e-07,0.937118889831836,1,0.873,0.00434337505096072,6.2998911112548,"Up","Meg3"
"AY036118",8.49981707603157e-07,1.03547406903414,0.907,0.69,0.00736424151467375,6.07059042060629,"Up","AY036118"
"App",2.62506776378874e-06,-1.32345394911832,0.419,0.778,0.0227435871054657,5.58085948118767,"Down","App"
"Frmd5",6.0893566854582e-06,-1.00969978567666,0.721,0.929,0.0527581863228099,5.21542858630197,"Down",NA
"Clip1",8.22442138621284e-06,2.03644199596806,0.395,0.095,0.071256386890148,5.08489464627941,"Up",NA
"Kcnq2",8.53883972736206e-06,3.35837009085542,0.233,0.024,0.0739805073978649,5.06860113800397,"Up","Kcnq2"
"Plppr4",9.42299272544633e-06,3.42548428671396,0.209,0.016,0.081640808973267,5.02581114415719,"Up","Plppr4"
"Arglu1",1.24360904705833e-05,1.51998827317719,0.651,0.31,0.107746287837134,4.90531612719396,"Up",NA
"Gm19951",1.26592026353521e-05,1.49697532908493,0.814,0.516,0.10967933163269,4.89759364834492,"Up",NA
"Zbtb16",1.57203439860933e-05,2.370442923156,0.395,0.111,0.136201060295513,4.80353795513963,"Up",NA
"Gatm",1.74812285861324e-05,-2.17387759306781,0.163,0.524,0.151457364470251,4.75742804827898,"Down",NA
"AC149090.1",1.76978334240038e-05,1.26373321671735,0.791,0.476,0.153334028785569,4.75207989689198,"Up",NA
"1500004A13Rik",1.82491415079286e-05,-1.93441165837242,0.14,0.524,0.158110562024694,4.73875756118772,"Down",NA
"Enpp2",1.92237872963862e-05,-1.12509521998153,0.535,0.794,0.16655489313589,4.71616104747448,"Down",NA
"Rpl21",2.31195196292742e-05,2.3165499151608,0.326,0.071,0.200307518068032,4.63602119380353,"Up",NA
"Dnm3",2.43423223868444e-05,-0.98113063347989,0.558,0.825,0.21090188115962,4.61363799012909,"Down",NA
"Lmf1",2.70042130647752e-05,2.77340759013427,0.256,0.04,0.233964501993213,4.56856847406156,"Up",NA
"Tmem91",2.90707059956051e-05,2.77340759013427,0.256,0.04,0.251868596745923,4.53654442105818,"Up",NA
