"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Malat1",1.07722568724764e-13,-0.970957611871554,1,1,9.33308335431358e-10,12.9676932990621,"Down","Malat1"
"Cmss1",8.5986261083102e-13,1.84753383640464,1,0.984,7.44984966023995e-09,12.0655709349478,"Up","Cmss1"
"Caskin1",6.39136252719735e-12,2.82617879634926,0.561,0.071,5.53747649356379e-08,11.1944065479504,"Up","Caskin1"
"AC149090.1",1.50617196583773e-11,2.26998187985471,0.902,0.476,1.30494739120181e-07,10.8221254401202,"Up","AC149090.1"
"Ahi1",4.04140659503443e-11,2.20469041960299,0.78,0.278,3.50147467393783e-07,10.393467454161,"Up","Ahi1"
"Snhg11",4.76607010491885e-10,1.27180461546153,0.951,0.794,4.12932313890169e-06,9.32183957383272,"Up","Snhg11"
"Meg3",6.37647763336729e-10,1.38556900244543,0.976,0.873,5.52458022154942e-06,9.19541915933989,"Up",NA
"Shank1",8.18193149103488e-10,3.54572733743806,0.39,0.032,7.08882544383262e-06,9.08714416125784,"Up",NA
"Kcnb1",3.81754652223111e-09,4.42708284093944,0.293,0.008,3.30752230686103e-05,8.41821566174367,"Up","Kcnb1"
"Chd3",6.72679086793776e-09,3.20469041960299,0.463,0.079,5.82809160798128e-05,8.17219207407317,"Up",NA
"Frmd5",1.58800603917803e-08,-1.40493413535244,0.634,0.929,0.000137584843234384,7.79914785028631,"Down","Frmd5"
"B4galnt4",2.320376625158e-08,4.20469041960299,0.268,0.008,0.000201037430803689,7.6344415181467,"Up","B4galnt4"
"Pacsin1",2.50576066654428e-08,2.44980291743952,0.512,0.111,0.000217099104149396,7.60106041225762,"Up",NA
"Sgsm1",2.67392828806555e-08,3.05268732615794,0.415,0.063,0.000231669146877999,7.57285024423748,"Up",NA
"Kcnq2",3.18845927565194e-08,3.52661851449035,0.317,0.024,0.000276248111642484,7.49641912563379,"Up",NA
"Tro",3.96249337176761e-08,2.86073601838563,0.439,0.079,0.000343310425729946,7.40203145123657,"Up",NA
"Trf",5.27659493700583e-08,-2.22157433509911,0.244,0.722,0.000457164185342185,7.27764624358585,"Down","Trf"
"Rbfox3",7.69384334727098e-08,2.66154809457646,0.463,0.095,0.000666594587607558,7.11385666051795,"Up",NA
"Pde4b",8.25427554133339e-08,-1.08785386850328,0.854,0.992,0.000715150432901125,7.08332103775043,"Down","Pde4b"
"Sez6l",9.51153821176246e-08,2.49419703679797,0.439,0.079,0.0008240796706671,7.02174924301423,"Up",NA
"Ttc3",1.69232628535202e-07,1.57464002935329,0.756,0.333,0.00146623149362899,6.7715159000047,"Up",NA
"Spock2",1.78386047873461e-07,3.42708284093944,0.293,0.024,0.00154553671877566,6.74863911615115,"Up",NA
"Map2k2",2.02337452065958e-07,2.01565659521297,0.488,0.103,0.00175305168469946,6.69392372316016,"Up",NA
"Camk2a",2.99135275500629e-07,2.27180461546153,0.439,0.087,0.00259170802693745,6.52413236981077,"Up",NA
"Prr5l",3.39446547935784e-07,-1.30837916263638,0.512,0.849,0.00294096489131563,6.46922860360489,"Down","Prr5l"
"Tmeff2",3.80369386139547e-07,-1.17382120365074,0.683,0.905,0.00329552036151304,6.41979444432581,"Down",NA
"Rgs7bp",4.17849558296013e-07,4.9416560137692,0.195,0,0.00362024857307666,6.37898005258429,"Up","Rgs7bp"
"Mag",4.81974922335602e-07,-1.51469840133909,0.439,0.817,0.00417583072711566,6.31697555797401,"Down",NA
"Ncam1",5.19361575167573e-07,-1.15286158501509,0.585,0.849,0.00449974868725185,6.2845301846836,"Down",NA
"Camk1d",5.92152473353642e-07,1.31306658064778,0.756,0.325,0.00513040902913595,6.22756645238162,"Up",NA
"Eno2",6.61686973741495e-07,2.9416560137692,0.317,0.04,0.00573285594049631,6.17934741498293,"Up",NA
"Pitpnm1",8.18930748051497e-07,2.77173101232688,0.366,0.063,0.00709521600111817,6.0867528223064,"Up",NA
"Cdk10",8.38015268436371e-07,2.33022130168685,0.39,0.071,0.00726056428573272,6.07674806855677,"Up",NA
"Add2",8.41240476860483e-07,3.10515474605207,0.293,0.032,0.00728850749151923,6.07507983910717,"Up",NA
"Map3k12",9.15975931001726e-07,3.42708284093944,0.268,0.024,0.00793601546619896,6.03811593809031,"Up",NA
"Cfap46",9.25594148198864e-07,3.9416560137692,0.244,0.016,0.00801934769999496,6.03357939974881,"Up",NA
"Atp2b2",9.29526624095432e-07,2.61972791888183,0.366,0.063,0.00805341867116283,6.03173816637391,"Up",NA
"Ftl1-ps1",9.61351718211191e-07,3.61972791888183,0.244,0.016,0.00832915128658176,6.01711769315078,"Up",NA
"App",1.08056432506241e-06,-1.5177756048681,0.439,0.778,0.00936200931234072,5.96634937483522,"Down",NA
"Sox2ot",1.20464074066005e-06,-1.27212327726254,0.61,0.825,0.0104370073770786,5.91914245318217,"Down",NA
"Chd5",1.21703442266283e-06,2.6703539919518,0.415,0.095,0.0105443862379507,5.91469713798925,"Up",NA
"Pabpn1",1.28962214049441e-06,1.61972791888183,0.707,0.349,0.0111732862252435,5.88953751941925,"Up",NA
"Nkain2",1.52756720752464e-06,-0.760934000795996,1,1,0.0132348422859935,5.81599967325235,"Down",NA
"Gm19951",1.70877623139653e-06,1.67181643003029,0.78,0.516,0.0148048372688196,5.76731480552532,"Up",NA
"Pex5l",2.00304551170099e-06,-1.33869297736677,0.561,0.865,0.0173543863133774,5.69830918288014,"Down",NA
"Uchl1",2.14294470359001e-06,2.81237299682423,0.317,0.048,0.0185664729119039,5.66898903532101,"Up",NA
"Matk",2.28775269528455e-06,1.9416560137692,0.537,0.175,0.0198210893519453,5.64059092431877,"Up",NA
"Dbn1",2.35020507970151e-06,2.71926359243275,0.317,0.048,0.0203621768105339,5.62889423938925,"Up",NA
"Arhgef10",2.39433374456562e-06,-1.62819959456175,0.146,0.587,0.0207445075629165,5.62081531369529,"Down",NA
"Ptprn2",2.4026452580953e-06,2.0703893278914,0.537,0.183,0.0208165185161377,5.61931034647639,"Up",NA
"Aplp1",2.64985564432874e-06,-2.34605636578025,0.146,0.563,0.0229583493024642,5.57677778439492,"Down",NA
"Mog",2.74113494646989e-06,-1.80911537992204,0.171,0.619,0.0237491931762151,5.56206958355405,"Down",NA
"Enpp2",2.77561845237042e-06,-1.33201691251095,0.39,0.794,0.0240479582713373,5.55664023397322,"Down",NA
"Kcnt1",2.96696182968757e-06,2.84212034021828,0.341,0.063,0.0257057572924131,5.52768804089674,"Up",NA
"Gatm",3.04085299529387e-06,-2.69012734370495,0.122,0.524,0.0263459503512261,5.51700457455362,"Down",NA
"Zfp536",3.188851119809e-06,-1.40380759557896,0.537,0.802,0.0276282061020252,5.49636575650328,"Down",NA
"Srrm4",4.27821221325091e-06,2.98229799826654,0.268,0.032,0.0370664306156059,5.3687376768103,"Up",NA
"Celf4",4.36732089214821e-06,2.12992265120102,0.512,0.183,0.0378384682095721,5.35978489679648,"Up",NA
"Stac",4.38967380626679e-06,3.78965292032415,0.195,0.008,0.0380321338574955,5.35756775069221,"Up",NA
"Gnaz",4.38967380626679e-06,3.78965292032415,0.195,0.008,0.0380321338574955,5.35756775069221,"Up",NA
"Nbas",4.64596661489385e-06,-2.64079963134139,0.122,0.516,0.0402526547514403,5.33292391528901,"Down",NA
"Cep112",4.72263032394027e-06,2.37180040543825,0.439,0.127,0.0409168691266185,5.32581604861266,"Up",NA
"Cdk8",5.13338894056305e-06,1.5801995546952,0.61,0.246,0.0444756817810382,5.28959582938017,"Up",NA
"Zeb2",5.2227651055029e-06,-1.4846087409329,0.366,0.746,0.0452500368740771,5.28209950617103,"Down",NA
"Mbp",6.07560664632058e-06,-1.02672538237893,0.732,0.944,0.0526390559837215,5.21641035147521,"Down",NA
"Lrrc45",6.19182469264386e-06,2.4039992278264,0.439,0.135,0.0536459691370664,5.20818134820617,"Up",NA
"Sptbn4",6.7122264436958e-06,2.01565659521297,0.463,0.135,0.0581547299081804,5.17313340057199,"Up",NA
"Tnr",6.87146390665024e-06,1.49419703679797,0.341,0.063,0.0595343632872177,5.1629507303563,"Up",NA
"Pnisr",7.86919753183219e-06,0.952772045963369,0.902,0.659,0.0681787274157941,5.10406955293525,"Up",NA
"Plp1",9.20788807726232e-06,-0.768342532796742,0.756,0.937,0.0797771423014008,5.03583996823608,"Down",NA
"Evl",1.3303067127532e-05,2.42708284093944,0.293,0.048,0.115257773592937,4.87604821745435,"Up",NA
"Tmem91",1.33253895309466e-05,3.03476541816068,0.268,0.04,0.115451174896121,4.87532008671655,"Up",NA
"Rerg",1.33389680878177e-05,4.42708284093944,0.146,0,0.115568819512853,4.87487776645402,"Up","Rerg"
"Astn2",1.39300267610593e-05,2.53226507763149,0.39,0.103,0.120689751857818,4.85604804924946,"Up",NA
"Phlpp1",1.533056006151e-05,-1.0432370938406,0.488,0.817,0.132823972372922,4.81444197905428,"Down",NA
"Trerf1",1.55791271650677e-05,2.84212034021828,0.268,0.04,0.134977557758147,4.80745687772978,"Up",NA
"Asic2",1.64584800047617e-05,1.56819761824175,0.561,0.23,0.142596270761256,4.78361027580819,"Up",NA
"St6galnac3",1.78671822423332e-05,-1.31887153645402,0.341,0.746,0.154801266947575,4.74794393283829,"Down",NA
"Actl6b",1.92199182481342e-05,2.54572733743806,0.317,0.063,0.166521371701835,4.71624846393385,"Up",NA
"Vsnl1",2.32611933140947e-05,3.9416560137692,0.171,0.008,0.201534978873317,4.63336800945138,"Up",NA
"Apc2",2.37444864155565e-05,3.78965292032415,0.171,0.008,0.205722230304381,4.62443721960911,"Up",NA
"Sema6c",2.4220319514033e-05,3.61972791888183,0.171,0.008,0.209844848269582,4.61582013194994,"Up",NA
"Ctnnd2",2.47779261917304e-05,1.50108342238321,0.585,0.254,0.214675952525152,4.60593504506153,"Up",NA
"Traf3",2.75203155424931e-05,3.35669351304804,0.195,0.016,0.238436013860161,4.56034659087337,"Up",NA
"Clasp2",2.88758329403858e-05,-1.3533050335179,0.415,0.714,0.250180216595502,4.53946547943933,"Down",NA
"Ttll7",2.93303979028717e-05,-1.64330648695196,0.268,0.611,0.25411856743048,4.53268204524143,"Down",NA
"Gjc3",2.99661107551868e-05,-1.54073675331141,0.22,0.603,0.259626383582938,4.52336961965587,"Down",NA
"Ryr2",3.03900345902484e-05,1.54933859099043,0.415,0.111,0.263299259689912,4.51726880560135,"Up",NA
"Ntm",3.18086042851294e-05,1.86484041671836,0.439,0.135,0.275589747526361,4.49745538667902,"Up",NA
"Kif1a",3.685246388922e-05,1.5801995546952,0.561,0.246,0.319289747136202,4.43353347068904,"Up",NA
