"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Cmss1",1.25479532217676e-209,1.73306610903206,0.999,0.956,2.21396086644867e-205,"Up"
"AY036118",1.25765532040966e-128,1.27653587420927,0.958,0.797,2.21900704733081e-124,"Up"
"Gm19951",5.10970835902549e-119,1.48064749729429,0.923,0.656,9.01556942866457e-115,"Up"
"Gphn",1.34865859451376e-108,0.88030145736946,0.997,0.971,2.37957322416008e-104,"Up"
"Lars2",3.74738730144796e-108,0.991101448797802,0.977,0.782,6.61189015467478e-104,"Up"
"Camk1d",1.35163138952744e-102,1.4856756509515,0.877,0.59,2.38481842368221e-98,"Up"
"Pabpn1",1.38425490208051e-101,1.07864344492818,0.947,0.774,2.44237934923084e-97,"Up"
"AC149090.1",1.81140547547315e-100,0.981143255115179,0.984,0.918,3.19604382092483e-96,"Up"
"Gm42418",6.86179932596105e-90,0.687236827235362,1,1,1.21069587307257e-85,"Up"
"Arglu1",9.11747840449937e-81,1.04479148711762,0.861,0.699,1.60868788968987e-76,"Up"
"Srrm2",2.9337810374999e-70,0.839482054063515,0.952,0.876,5.17636326256482e-66,"Up"
"Pnisr",2.399488889129e-66,0.612980788405147,0.986,0.96,4.23365819597921e-62,"Up"
"Atp1b1",1.72643648924603e-58,-1.70858289144971,0.214,0.52,3.0461245416257e-54,"Down"
"Zranb2",3.04739347010864e-58,0.805500394343602,0.86,0.732,5.37682103865969e-54,"Up"
"Gm47283",3.32657151743658e-54,1.13408783675157,0.741,0.518,5.8694027853651e-50,"Up"
"Gm26917",5.43521498217466e-50,0.553368243750024,0.987,0.934,9.58989331454898e-46,"Up"
"Itm2c",1.59095156144491e-48,-2.31681517149371,0.08,0.327,2.8070749350134e-44,"Down"
"Rbm25",4.56902312203803e-47,0.67204922819864,0.921,0.836,8.06158439652391e-43,"Up"
"Chd5",5.8861401628508e-47,1.09108020277266,0.674,0.441,1.0385505703334e-42,"Up"
"Rtn1",1.43416540982304e-46,-0.796163561163532,0.613,0.838,2.53044144909178e-42,"Down"
"Atp6v0c",3.52205490427573e-46,-2.18920873235613,0.071,0.308,6.21431367310409e-42,"Down"
"Cdk8",2.33078199408047e-44,0.979963832160588,0.738,0.554,4.11243175035558e-40,"Up"
"Akap8l",7.78037454795671e-42,0.695654180468507,0.855,0.76,1.37276928524148e-37,"Up"
"Luc7l3",2.50954168738686e-40,0.585076483361552,0.936,0.884,4.42783535322537e-36,"Up"
"Pcsk1n",3.82644732931951e-39,-1.60326982129626,0.158,0.398,6.75138366785135e-35,"Down"
"EGFP",6.27766484603965e-39,0.674173153575714,0.876,0.631,1.10763118543524e-34,"Up"
"Kmt2a",1.8982574601812e-37,0.571596538309172,0.92,0.851,3.34928546274371e-33,"Up"
"Peg3",3.80689644749565e-36,0.587992400708876,0.909,0.874,6.71688809196133e-32,"Up"
"Itm2b",6.06753942560336e-34,-2.03236178202501,0.069,0.259,1.07055665625346e-29,"Down"
"Pbx1",9.95758841521946e-34,-1.02331093335158,0.402,0.637,1.75691689998132e-29,"Down"
"Ncam1",1.68404902405205e-32,-0.551865362587365,0.684,0.875,2.97133609803745e-28,"Down"
"Mycbp2",3.36633196435554e-32,0.364083806538885,0.992,0.986,5.93955611790892e-28,"Up"
"Cadm1",1.71143025191861e-31,-0.653818468252089,0.673,0.842,3.01964753648519e-27,"Down"
"Ahi1",9.1958222046897e-31,0.399737987416172,0.983,0.968,1.62251086979545e-26,"Up"
"B830012L14Rik",1.05980334437495e-30,-0.950860944761913,0.334,0.558,1.86991702081516e-26,"Down"
"Gabra1",1.45326191653642e-30,-1.70892952649243,0.091,0.278,2.56413532553685e-26,"Down"
"Prrc2c",3.23393340632795e-30,0.617245688965571,0.83,0.771,5.70595210212504e-26,"Up"
"Ubr4",7.59356957791687e-30,0.837086734947441,0.658,0.503,1.33980941632765e-25,"Up"
"Ctsb",2.35839957961809e-29,-2.11081718840793,0.049,0.211,4.16116021827816e-25,"Down"
"Syt11",1.55986523807334e-28,-0.973439056430782,0.263,0.487,2.75222622605661e-24,"Down"
"Srrm1",2.36171382183742e-28,0.54648133087123,0.859,0.792,4.16700786724994e-24,"Up"
