"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0050803","regulation of synapse structure or activity","107/1496","424/25730",0.252358490566038,4.34036361113914,17.2317592717408,1.74111045173038e-39,9.43159531702348e-36,6.75367580486996e-36,"210933/54216/208922/320772/20616/83814/17999/11820/319387/13640/14804/243548/327814/320150/12361/64085/234267/56508/216028/192167/14083/239719/12558/108155/18015/329165/72895/216831/12564/58234/12933/56637/331461/140580/13196/13175/270190/12386/106042/14803/18189/15569/16423/243499/19211/347722/76089/259302/80913/19277/238130/319613/223254/20563/226778/50791/242384/30785/19122/17257/12540/65114/75415/16573/333605/70530/67414/64451/170571/319504/18472/73086/16443/229791/18750/20354/11538/22215/13838/76742/272381/53328/72162/22284/66713/238205/15562/14360/99633/18222/29819/18187/16981/12934/399558/18481/53872/22359/52163/433485/13193/76965/16180/140919/16412/16975/11848",107,"ADP_H_vs_ADP_N"
"GO:0050807","regulation of synapse organization","105/1496","415/25730",0.253012048192771,4.35160427807487,17.1022211119244,7.18710028489663e-39,1.94662611216425e-35,1.3939191868339e-35,"210933/54216/208922/320772/20616/83814/17999/11820/319387/13640/14804/243548/327814/320150/12361/64085/234267/56508/216028/192167/14083/239719/12558/108155/18015/329165/72895/216831/12564/58234/12933/56637/331461/140580/13196/13175/270190/12386/106042/14803/18189/15569/16423/243499/19211/347722/76089/259302/80913/19277/238130/223254/20563/226778/50791/242384/30785/19122/17257/12540/65114/75415/16573/333605/70530/67414/64451/170571/319504/18472/73086/16443/229791/18750/20354/11538/22215/13838/76742/272381/53328/72162/22284/66713/238205/15562/14360/99633/18222/29819/18187/16981/12934/399558/18481/53872/22359/52163/433485/13193/76965/16180/16412/16975/11848",105,"ADP_H_vs_ADP_N"
"GO:0099173","postsynapse organization","91/1496","328/25730",0.277439024390244,4.77172867484022,17.0807960860575,2.99768984646823e-37,5.4128286327728e-34,3.87596038043348e-34,"54216/23859/208922/234214/11820/319387/14804/243548/327814/66797/13383/12361/13800/16337/56508/18191/70546/192167/20404/12558/20411/81907/18015/329165/70729/16001/67299/216831/13839/58234/14658/12933/331461/140580/13196/13175/270190/54725/106042/14803/11352/18189/243499/19211/245684/259302/80913/238130/223254/226778/50791/18186/75786/19122/12540/65114/75415/333605/70530/67414/64451/319504/18472/73086/16443/229791/22215/230235/13838/76742/272381/72162/22284/66713/15562/14432/14360/18222/29819/18187/12934/399558/231637/18481/53872/433485/13193/223666/16180/16412/16975",91,"ADP_H_vs_ADP_N"
"GO:0007416","synapse assembly","82/1496","320/25730",0.25625,4.40729445187166,15.2386684867174,5.63084069486624e-31,7.6255660110226e-28,5.46043367383739e-28,"210933/14402/54216/18183/208922/320772/11820/319387/13640/14804/243548/66797/64085/234267/216028/18191/243743/70546/192167/14406/20320/14083/12558/108155/72895/67299/58234/12933/56637/331461/13508/140580/13175/270190/54725/106042/18189/15569/243499/19211/259302/80913/238130/330222/223254/20563/226778/50791/16795/242384/14401/17257/14405/65114/75415/14394/14712/14395/18750/20354/11538/14396/272381/22284/238205/15562/14432/99633/18222/29819/14168/16981/12934/399558/53872/22359/433485/13193/76965/16180/18845/11848",82,"ADP_H_vs_ADP_N"
"GO:0016358","dendrite development","79/1496","334/25730",0.236526946107784,4.06807374555701,14.0223585239962,2.30368680448686e-27,2.49581428398107e-24,1.78717597358612e-24,"19055/210933/19091/208922/83814/17999/11820/327814/66797/12361/15572/56508/192167/329165/270120/216831/13047/93691/13839/58234/56637/331461/13508/67095/13196/13175/68166/270190/209012/12386/106042/12808/11352/231380/19211/93686/76089/17475/17344/330222/223254/329152/226778/19283/18186/239985/17257/12540/17756/67414/64451/56717/18472/11682/16443/77040/17258/20354/66923/22215/54673/13838/72162/22067/66713/14360/65254/18222/29819/18481/53872/74053/22359/52163/52463/13193/16412/16975/11848",79,"ADP_H_vs_ADP_N"
"GO:0099003","vesicle-mediated transport in synapse","76/1496","329/25730",0.231003039513678,3.9730669830795,13.4847200331089,1.13774122390355e-25,1.02719070164759e-22,7.35539721067472e-23,"19055/20614/78808/20616/229521/12287/27418/83814/12298/207227/17999/72685/327814/116837/218038/227801/12361/56508/11980/64051/192167/218503/20404/12558/96935/14169/269774/11984/20965/72194/109880/29873/231760/18189/224671/11966/19211/12330/21912/50791/17957/75734/18751/65114/80718/67979/104015/19056/108086/18196/83493/12725/20983/16510/20405/12314/16443/18750/111173/12290/13002/108664/208898/94090/11938/11772/12289/18222/102866/74053/433485/11964/208650/116838/53330/140919",76,"ADP_H_vs_ADP_N"
"GO:0007611","learning or memory","75/1496","369/25730",0.203252032520325,3.49577192295987,11.9977439496911,9.54221862231079e-22,5.37155944686984e-19,3.84640878359849e-19,"210933/20614/14402/20238/208922/229521/383348/11820/66797/218038/64085/15572/17967/11980/18191/94109/20320/320127/56469/18015/329165/67869/218461/56710/12326/224938/238871/50876/58234/56637/15560/18795/109880/209012/76376/268354/14266/11352/432572/18189/231380/234593/224671/19211/16497/110893/19283/16795/75786/64930/666173/17250/19122/195018/17257/21960/67979/104015/72108/56717/18472/20983/328572/18750/12290/11538/22215/53328/53901/19063/14168/23802/15194/319984/16412",75,"ADP_H_vs_ADP_N"
"GO:0007626","locomotory behavior","66/1496","294/25730",0.224489795918367,3.86104441776711,12.2585345607474,9.91611491022676e-22,5.37155944686984e-19,3.84640878359849e-19,"11899/20614/268890/20238/12805/12287/80912/12298/11820/319387/66797/15572/109205/94229/17978/14169/58234/14658/110784/11906/13508/15560/227331/20265/14816/209012/70430/11352/231380/224671/16508/19211/243385/16795/14167/170719/75786/64930/27386/12661/17257/17993/16531/268860/65114/21960/72108/56717/19056/12725/18472/11682/19156/13405/76192/12290/22215/13838/213827/53901/19063/18516/15194/103199/11784/20273",66,"ADP_H_vs_ADP_N"
"GO:0031346","positive regulation of cell projection organization","86/1496","469/25730",0.183368869936034,3.15379747557096,11.6958210280965,1.26483532268912e-21,6.09617511952738e-19,4.36528381711734e-19,"20616/12805/13640/214459/330914/12361/234267/15572/192167/20320/18015/329165/16001/268902/50769/13047/75974/56637/331461/13508/12877/19762/208727/109880/68732/67095/11789/20257/23964/12808/11352/234593/76089/80913/17344/50791/19283/18186/330938/12540/66573/107035/252838/67414/56717/71653/12168/18472/11682/52822/13405/328572/21821/20354/11538/54673/13838/235106/72162/22067/66713/20713/12396/14360/18222/23965/29819/26395/15194/103199/18481/53872/20187/69981/74053/22359/52163/193385/13193/76965/13837/18546/232906/16412/14348/16975",86,"ADP_H_vs_ADP_N"
"GO:1901888","regulation of cell junction assembly","69/1496","325/25730",0.212307692307692,3.65152200740436,11.9520393803109,3.2712893655433e-21,1.36312111485754e-18,9.76089175062921e-19,"76499/210933/54216/76707/208922/320772/83814/11820/319387/13640/14804/243548/66797/64085/216028/192167/14083/108155/72895/12933/56637/331461/140580/13175/270190/106042/26921/18189/110829/15569/19271/243499/19211/76089/259302/80913/238130/223254/20563/226778/242384/18186/64930/105522/65114/75415/11856/18750/20354/11538/21872/272381/22284/238205/15562/99633/18222/29819/16981/12934/399558/22359/50768/433485/13193/76965/16180/13837/11848",69,"ADP_H_vs_ADP_N"
